name, atom, M0,    epsilon,  sigma
HOH, O,  -0.834, 0.636386, 0.315061
HOH, OW, -0.834, 0.636386, 0.315061
HOH, H,   0.417, 0.0,      0.0
HOH, H1,  0.417, 0.0,      0.0
HOH, H2,  0.417, 0.0,      0.0
HOH, HW,  0.417, 0.0,      0.0
HOH, HW1, 0.417, 0.0,      0.0
HOH, HW2, 0.417, 0.0,      0.0
WAT, O,  -0.834, 0.636386, 0.315061
WAT, OW, -0.834, 0.636386, 0.315061
WAT, H,   0.417, 0.0,      0.0
WAT, H1,  0.417, 0.0,      0.0
WAT, H2,  0.417, 0.0,      0.0
WAT, HW,  0.417, 0.0,      0.0
WAT, HW1, 0.417, 0.0,      0.0
WAT, HW2, 0.417, 0.0,      0.0
T3P, O,  -0.834, 0.636386, 0.315061
T3P, OW, -0.834, 0.636386, 0.315061
T3P, H,   0.417, 0.0,      0.0
T3P, H1,  0.417, 0.0,      0.0
T3P, H2,  0.417, 0.0,      0.0
T3P, HW,  0.417, 0.0,      0.0
T3P, HW1, 0.417, 0.0,      0.0
T3P, HW2, 0.417, 0.0,      0.0
