Index       FREQ            Re(V(1))          Im(V(1))          Re(V(5))          Im(V(5))     
0        1.00000000e-02    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
1        1.58489319e-02    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
2        2.51188643e-02    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
3        3.98107171e-02    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
4        6.30957344e-02    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
5        1.00000000e-01    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
6        1.58489319e-01    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
7        2.51188643e-01    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
8        3.98107171e-01    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
9        6.30957344e-01    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
10       1.00000000e+00    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
11       1.58489319e+00    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
12       2.51188643e+00    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
13       3.98107171e+00    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
14       6.30957344e+00    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
15       1.00000000e+01    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
16       1.58489319e+01    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
17       2.51188643e+01    1.00000000e+00    0.00000000e+00   -0.00000000e+00    0.00000000e+00
18       3.98107171e+01    1.00000000e+00    0.00000000e+00   -0.00000000e+00    0.00000000e+00
19       6.30957344e+01    1.00000000e+00    0.00000000e+00   -0.00000000e+00    0.00000000e+00
20       1.00000000e+02    1.00000000e+00    0.00000000e+00   -0.00000000e+00    0.00000000e+00
21       1.58489319e+02    1.00000000e+00    0.00000000e+00   -0.00000000e+00    0.00000000e+00
22       2.51188643e+02    1.00000000e+00    0.00000000e+00   -0.00000000e+00    0.00000000e+00
23       3.98107171e+02    1.00000000e+00    0.00000000e+00   -0.00000000e+00    0.00000000e+00
24       6.30957344e+02    1.00000000e+00    0.00000000e+00   -0.00000000e+00    0.00000000e+00
25       1.00000000e+03    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
26       1.58489319e+03    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
27       2.51188643e+03    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
28       3.98107171e+03    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
29       6.30957344e+03    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
30       1.00000000e+04    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
31       1.58489319e+04    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
32       2.51188643e+04    1.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
33       3.98107171e+04    1.00000000e+00    0.00000000e+00    0.00000000e+00   -0.00000000e+00
34       6.30957344e+04    1.00000000e+00    0.00000000e+00    0.00000000e+00   -0.00000000e+00
35       1.00000000e+05    1.00000000e+00    0.00000000e+00    0.00000000e+00   -0.00000000e+00
36       1.58489319e+05    1.00000000e+00    0.00000000e+00    0.00000000e+00   -0.00000000e+00
37       2.51188643e+05    1.00000000e+00    0.00000000e+00    0.00000000e+00   -0.00000000e+00
38       3.98107171e+05    1.00000000e+00    0.00000000e+00    0.00000000e+00   -0.00000000e+00
39       6.30957344e+05    1.00000000e+00    0.00000000e+00    0.00000000e+00   -0.00000000e+00
40       1.00000000e+06    1.00000000e+00    0.00000000e+00    0.00000000e+00   -0.00000000e+00
41       1.58489319e+06    1.00000000e+00    0.00000000e+00    0.00000000e+00   -0.00000000e+00
42       2.51188643e+06    1.00000000e+00    0.00000000e+00    0.00000000e+00   -0.00000000e+00
43       3.98107171e+06    1.00000000e+00    0.00000000e+00    0.00000000e+00   -0.00000000e+00
44       6.30957344e+06    1.00000000e+00    0.00000000e+00    0.00000000e+00   -0.00000000e+00
45       1.00000000e+07    1.00000000e+00    0.00000000e+00    0.00000000e+00   -0.00000000e+00
46       1.58489319e+07    1.00000000e+00    0.00000000e+00    0.00000000e+00   -0.00000000e+00
47       2.51188643e+07    1.00000000e+00    0.00000000e+00    0.00000000e+00   -0.00000000e+00
48       3.98107171e+07    1.00000000e+00    0.00000000e+00    0.00000000e+00   -0.00000000e+00
49       6.30957344e+07    1.00000000e+00    0.00000000e+00    0.00000000e+00   -0.00000000e+00
50       1.00000000e+08    1.00000000e+00    0.00000000e+00    0.00000000e+00   -0.00000000e+00
51       1.58489319e+08    1.00000000e+00    0.00000000e+00    0.00000000e+00   -0.00000000e+00
52       2.51188643e+08    1.00000000e+00    0.00000000e+00    0.00000000e+00   -0.00000000e+00
53       3.98107171e+08    1.00000000e+00    0.00000000e+00    0.00000000e+00   -0.00000000e+00
54       6.30957344e+08    1.00000000e+00    0.00000000e+00    0.00000000e+00   -0.00000000e+00
55       1.00000000e+09    1.00000000e+00    0.00000000e+00    0.00000000e+00   -0.00000000e+00
End of Xyce(TM) Simulation
