Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,8,7,6,10,24,20,10,9,11,10,11,30,9,16,8,1
2,12,10,7,11,28,23,11,11,13,12,13,35,11,17,9,2
3,16,12,9,12,32,26,12,13,15,14,16,41,12,18,10,3
4,23,14,10,13,34,29,13,15,17,17,18,50,13,19,11,4
5,26,16,11,14,37,32,14,17,20,19,20,57,15,20,12,5
6,31,18,12,15,40,35,15,18,22,21,22,64,16,21,14,6
7,35,21,13,16,44,38,16,20,24,23,24,71,17,22,15,7
8,39,23,15,17,48,41,17,21,26,25,25,77,19,24,16,8
9,43,25,16,18,52,44,18,22,28,27,27,82,20,25,17,9
10,47,27,17,19,56,46,19,24,30,28,29,88,21,26,18,10
11,50,29,18,20,60,49,20,25,32,30,30,95,23,27,19,11
12,53,32,19,21,64,51,,26,34,32,31,100,24,28,20,12
13,56,33,20,22,68,54,21,27,36,34,32,107,25,29,,13
14,59,35,21,23,72,56,22,29,37,35,33,111,26,,21,14
15,61,37,22,24,75,59,23,30,38,37,34,117,28,30,,15
16,62,39,23,25,78,61,24,31,,39,35,123,29,31,22,16
17,63,40,24,26,82,63,25,32,39,40,36,129,30,32,23,17
18,64,42,25,27,87,66,26,33,40,42,37,133,31,,,18
19,68,44,32,28,119,68,30,35,42,60,38,136,33,34,24,19
