Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,,,5,5,6,5,0,1,0,1,1,11,3,6,1,1
2,1,,6,6,9,8,2,2,2,3,3,16,4,7,2,2
3,4,0,7,7,12,11,4,4,4,5,5,21,5,9,4,3
4,6,2,8,8,15,14,5,5,6,6,7,26,6,10,5,4
5,8,3,9,9,17,17,6,7,8,7,9,31,7,11,6,5
6,12,6,,11,20,19,7,8,10,8,11,36,8,12,7,6
7,15,7,10,12,23,22,8,10,11,9,13,41,9,14,8,7
8,18,10,11,13,26,25,10,12,13,13,15,46,10,15,9,8
9,21,11,12,14,28,28,11,13,15,14,17,51,11,16,11,9
10,23,13,,15,31,31,13,14,17,16,19,56,12,17,12,10
11,26,15,13,16,34,34,14,16,19,17,21,62,13,19,13,11
12,29,17,,17,36,36,16,17,20,19,23,67,14,20,14,12
13,32,19,14,18,39,39,17,18,22,21,25,72,15,21,15,13
14,34,21,15,19,42,42,19,20,23,22,26,77,16,22,16,14
15,37,23,,20,45,45,20,21,25,24,28,79,17,24,17,15
16,40,25,16,21,47,47,21,22,26,26,30,84,18,25,18,16
17,43,27,17,22,49,50,22,24,28,27,32,89,19,26,19,17
18,46,29,18,23,52,51,24,25,30,29,33,93,20,27,20,18
19,68,44,32,28,119,68,30,35,42,60,38,136,33,34,24,19
