Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,1,,6,7,11,11,5,4,1,2,8,21,4,10,3,1
2,3,1,7,8,14,15,6,6,3,4,10,25,6,11,4,2
3,6,3,,9,17,18,7,7,5,6,11,29,7,12,5,3
4,10,5,8,10,19,20,8,9,7,8,13,35,8,13,6,4
5,14,8,9,11,22,23,9,10,9,10,15,41,9,14,8,5
6,18,10,10,12,26,25,11,12,11,13,17,46,10,15,9,6
7,21,12,11,13,30,28,12,14,14,15,18,52,11,17,10,7
8,25,14,12,14,33,30,13,15,16,17,20,57,12,18,11,8
9,28,16,13,15,36,33,14,17,18,19,21,63,14,19,12,9
10,32,18,14,16,39,35,15,19,20,20,23,68,15,20,13,10
11,35,20,15,17,43,38,16,20,23,22,24,74,16,21,14,11
12,38,22,16,18,46,41,17,22,24,24,25,79,17,22,15,12
13,42,24,17,20,49,43,18,23,25,26,27,81,18,23,16,13
14,45,26,18,21,52,46,20,25,27,28,29,87,19,25,17,14
15,47,28,19,22,56,48,21,26,29,30,30,91,20,26,18,15
16,52,30,,23,59,51,22,27,30,32,32,95,21,27,19,16
17,54,32,20,24,62,53,23,29,31,34,34,100,22,28,,17
18,58,34,21,25,65,55,24,31,32,35,35,105,23,29,20,18
19,68,44,32,28,119,68,30,35,42,60,38,136,33,34,24,19
