Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,1,,6,7,11,10,4,2,1,2,8,21,4,10,3,1
2,3,1,7,8,14,13,5,4,3,3,9,25,5,11,4,2
3,6,3,,9,16,16,7,6,5,5,11,29,7,12,5,3
4,10,5,8,10,19,20,8,8,7,7,12,34,8,13,6,4
5,13,7,9,11,22,23,9,9,9,9,14,40,9,14,7,5
6,16,9,10,12,24,25,10,11,11,13,16,46,10,15,8,6
7,19,11,11,13,27,28,12,13,14,15,17,52,11,17,9,7
8,23,13,12,14,30,30,13,15,16,17,19,57,12,18,10,8
9,26,15,,15,33,32,14,16,17,18,21,62,13,19,12,9
10,30,17,13,16,35,35,15,18,19,20,22,66,14,20,13,10
11,33,20,14,17,38,37,16,20,21,21,24,71,16,21,14,11
12,36,22,15,18,41,39,17,22,23,23,25,76,17,22,15,12
13,40,24,16,20,43,42,18,23,24,25,27,81,18,23,16,13
14,43,26,17,21,46,44,20,25,26,26,29,86,19,24,17,14
15,47,28,18,22,49,46,21,26,27,28,30,91,20,25,18,15
16,50,30,19,23,51,49,22,27,29,29,32,94,21,26,19,16
17,53,32,,24,54,52,23,29,31,31,33,99,22,27,,17
18,57,34,20,25,57,54,24,31,32,32,34,105,23,29,20,18
19,68,44,32,28,119,68,30,35,42,60,38,136,33,34,24,19
