,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,1,,6,7,11,12,5,4,3,4,9,21,4,12,3,1
2,3,3,7,8,15,15,7,6,6,5,11,25,6,13,4,2
3,6,5,8,9,17,18,8,8,8,7,12,29,7,14,6,3
4,10,7,,10,20,21,9,9,10,8,14,36,8,15,7,4
5,14,9,9,11,23,24,10,11,12,10,16,42,9,16,8,5
6,18,11,11,12,27,28,11,13,14,14,18,48,11,17,10,6
7,22,13,12,13,31,30,13,15,17,16,20,54,12,19,11,7
8,26,15,13,15,35,33,14,16,19,18,21,61,13,20,12,8
9,30,17,14,16,38,35,15,18,21,20,23,66,14,21,13,9
10,34,19,15,17,42,38,16,19,23,23,25,70,16,22,15,10
11,38,21,16,18,45,40,17,21,25,25,26,74,17,23,16,11
12,42,23,17,20,48,43,19,22,27,27,28,79,18,24,17,12
13,47,25,18,21,51,45,20,24,28,29,29,83,20,25,18,13
14,51,27,19,22,54,48,21,25,30,31,31,88,21,27,,14
15,54,29,20,23,57,50,22,27,31,34,32,92,23,28,19,15
16,56,31,21,24,60,52,23,28,32,36,33,96,24,29,20,16
17,58,33,,25,63,54,24,30,33,37,34,101,25,30,,17
18,60,34,22,26,66,56,25,32,34,39,36,106,26,31,21,18
19,68,44,32,28,119,68,30,35,42,60,38,136,33,34,24,19
