Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,12,9,6,10,27,26,10,9,12,11,12,40,12,16,10,1
2,18,11,7,11,30,28,11,11,14,13,14,46,13,17,11,2
3,22,13,9,12,34,31,12,13,16,16,16,53,14,18,12,3
4,27,15,10,13,42,33,13,15,19,18,18,59,16,19,13,4
5,30,17,11,14,46,36,14,17,21,21,20,66,17,20,14,5
6,35,20,12,15,50,39,15,18,23,23,22,72,18,22,15,6
7,38,22,13,16,53,41,16,20,25,25,24,78,19,23,16,7
8,42,24,15,17,58,43,17,22,27,28,26,85,21,24,17,8
9,46,26,16,19,62,46,18,24,29,30,28,91,22,25,,9
10,49,29,18,20,65,48,19,25,31,33,30,97,23,26,18,10
11,53,31,19,21,68,51,20,27,33,35,31,104,24,27,19,11
12,56,33,21,22,71,53,21,28,35,36,32,110,25,28,20,12
13,58,35,22,23,74,55,23,29,36,38,33,115,26,29,21,13
14,61,37,23,,77,57,,30,37,40,34,120,27,,22,14
15,63,39,25,24,79,59,24,31,38,42,35,126,28,30,,15
16,64,40,26,25,82,61,25,32,39,46,,129,30,31,23,16
17,65,41,28,26,86,64,26,33,40,48,36,131,31,32,,17
18,66,43,29,27,92,66,,34,41,50,37,135,32,,24,18
19,68,44,32,28,119,68,30,35,42,60,38,136,33,34,,19
