Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,1,1,6,7,11,12,5,4,3,4,9,21,5,12,4,1
2,3,3,7,8,15,15,7,6,6,5,11,25,6,13,5,2
3,6,5,8,9,17,18,8,8,8,7,12,29,8,14,6,3
4,10,7,,10,20,21,9,9,10,8,14,37,9,15,7,4
5,14,9,10,11,23,24,11,11,12,11,16,42,11,17,9,5
6,18,12,11,12,27,28,12,13,14,14,18,48,12,18,10,6
7,22,14,12,13,31,30,13,15,17,16,20,55,13,19,11,7
8,27,16,13,15,35,33,15,16,19,18,22,61,14,20,12,8
9,31,18,14,16,39,36,16,18,21,21,23,68,15,22,13,9
10,36,20,15,18,42,38,17,20,23,23,25,74,17,23,15,10
11,40,22,16,19,46,41,18,22,25,25,26,80,18,24,16,11
12,43,24,17,20,50,43,19,23,27,27,28,84,19,25,17,12
13,47,26,18,21,54,46,20,25,28,29,29,91,20,26,18,13
14,51,28,19,22,58,48,21,27,30,31,31,95,22,27,,14
15,55,29,20,23,60,50,22,28,31,34,32,100,23,28,19,15
16,57,31,21,24,62,52,23,29,32,36,33,105,24,29,20,16
17,59,33,22,25,64,54,24,31,33,38,34,111,25,30,,17
18,61,34,23,26,68,56,25,32,34,40,36,116,26,31,21,18
19,68,44,32,28,119,68,30,35,42,60,38,136,33,34,24,19
