Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,7,6,6,9,23,19,10,9,11,10,11,27,9,16,8,1
2,11,8,7,10,26,22,11,11,13,12,12,34,10,17,9,2
3,15,10,9,11,28,26,12,12,15,14,15,41,11,18,10,3
4,20,13,10,12,33,29,13,14,17,16,17,48,12,19,11,4
5,24,15,11,13,37,32,14,15,20,19,20,54,14,20,12,5
6,28,17,12,14,40,35,15,17,22,21,22,61,15,21,14,6
7,33,20,13,16,43,38,16,19,24,23,24,68,17,22,15,7
8,37,22,15,17,48,41,17,20,26,25,25,75,18,23,16,8
9,41,24,16,18,52,43,18,22,28,26,27,82,20,24,17,9
10,45,27,17,19,56,46,19,24,29,28,28,88,21,26,18,10
11,49,29,,20,60,48,20,25,31,29,30,95,23,27,19,11
12,53,31,18,21,64,51,,26,33,31,31,100,24,28,,12
13,56,33,19,22,68,54,21,27,34,32,32,106,25,29,20,13
14,58,35,20,23,72,56,22,29,35,34,33,111,26,,,14
15,60,37,21,24,75,59,23,30,36,36,34,116,28,30,21,15
16,62,39,22,25,78,61,24,31,37,37,35,123,29,31,22,16
17,63,40,24,26,82,63,25,32,38,39,36,128,30,32,,17
18,64,42,25,27,86,66,26,33,39,41,37,133,31,,23,18
19,68,44,32,28,119,68,30,35,42,60,38,136,33,34,24,19
