Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,1,2,6,8,14,13,7,5,5,8,10,22,6,15,5,1
2,4,3,7,9,18,16,8,7,8,10,12,27,7,16,6,2
3,6,5,8,10,22,19,10,9,11,12,13,35,8,17,7,3
4,11,7,9,11,25,21,11,10,13,14,15,41,9,18,8,4
5,16,9,10,12,29,26,12,12,15,16,17,48,11,19,9,5
6,20,12,11,13,33,29,13,14,17,17,19,54,12,20,10,6
7,24,14,12,14,37,33,14,16,19,19,21,60,14,21,11,7
8,28,17,13,16,41,36,15,17,21,21,22,66,15,22,12,8
9,32,19,14,17,44,38,16,19,23,22,24,72,16,,13,9
10,36,21,15,18,47,40,17,21,25,24,25,78,18,23,15,10
11,40,24,16,19,50,42,18,22,27,26,26,84,19,24,16,11
12,44,26,18,20,52,44,20,24,28,27,28,91,20,25,17,12
13,48,29,19,21,55,46,21,25,30,29,29,97,21,26,18,13
14,52,31,20,22,58,48,22,27,31,31,31,103,22,27,19,14
15,56,33,21,23,60,50,23,28,32,34,32,109,23,28,,15
16,58,35,22,24,63,52,24,29,33,36,33,115,24,29,20,16
17,60,37,23,25,66,54,25,31,34,38,35,121,26,30,21,17
18,62,39,24,26,68,56,26,32,35,40,36,127,27,31,,18
19,68,44,32,28,119,68,30,35,42,60,38,136,33,34,24,19
