Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,,,4,0,5,4,0,1,,1,1,5,3,4,1,1
2,,,5,1,10,5,1,2,0,4,3,11,4,7,2,2
3,1,0,6,3,14,8,2,3,1,6,4,13,5,8,3,3
4,2,1,7,5,19,11,3,4,3,9,6,19,6,9,4,4
5,5,2,8,6,23,14,4,6,4,11,8,23,,10,5,5
6,8,4,,7,28,16,6,7,6,14,10,30,7,11,6,6
7,12,6,9,9,32,19,7,9,8,16,12,35,8,12,7,7
8,15,7,10,10,37,21,8,11,10,19,13,42,9,13,8,8
9,18,9,11,12,41,24,10,12,12,21,15,47,10,15,9,9
10,21,10,12,13,46,26,11,13,14,24,17,52,,16,10,10
11,24,11,,15,50,29,13,14,16,26,19,57,11,17,11,11
12,27,13,13,16,55,31,14,16,18,29,20,62,12,18,12,12
13,30,14,14,17,57,33,15,17,20,31,22,67,13,19,13,13
14,34,15,15,19,58,35,16,18,21,34,24,72,,20,14,14
15,37,17,,20,60,37,18,19,23,36,26,77,14,21,15,15
16,40,18,16,21,62,39,19,20,25,38,28,82,15,22,16,16
17,43,22,17,22,63,41,20,21,27,41,29,87,16,23,17,17
18,46,23,18,23,64,44,22,22,29,42,31,92,,24,18,18
19,68,44,32,28,65,68,30,35,42,45,38,136,33,34,24,19
