Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,2,2,6,8,14,13,7,5,6,8,10,22,8,15,5,1
2,4,4,7,10,18,16,8,7,8,10,12,28,9,16,6,2
3,7,7,8,11,22,19,10,9,11,12,13,35,10,17,7,3
4,11,9,9,12,25,23,11,11,13,14,15,42,12,18,8,4
5,16,11,10,13,29,26,12,13,15,16,17,49,13,19,9,5
6,20,14,11,14,33,30,13,14,17,18,19,56,14,20,10,6
7,24,16,12,15,37,33,14,16,19,20,21,63,15,21,11,7
8,29,18,13,16,41,36,15,18,21,21,22,69,16,22,12,8
9,33,20,14,17,45,38,16,19,23,23,24,76,17,,14,9
10,37,23,15,18,48,40,18,21,26,25,25,83,18,23,15,10
11,42,25,17,19,52,42,19,22,27,27,27,90,19,24,16,11
12,46,27,18,20,56,44,20,24,28,29,28,97,20,25,17,12
13,50,29,19,21,60,46,21,25,30,30,29,102,21,26,18,13
14,53,31,20,22,64,48,22,27,31,32,31,108,22,27,19,14
15,56,33,21,23,68,51,23,28,33,34,32,113,23,28,,15
16,58,35,22,24,71,53,24,29,34,36,33,119,24,29,20,16
17,60,37,23,25,75,55,25,31,35,38,35,124,26,30,21,17
18,62,39,24,26,79,57,26,32,36,40,36,130,27,31,,18
19,68,44,32,28,119,68,30,35,42,60,38,136,33,34,24,19
