Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,6,4,6,9,20,16,9,7,8,9,10,25,8,15,7,1
2,9,6,7,10,24,20,10,9,10,11,12,30,9,16,8,2
3,12,8,9,11,27,23,11,10,12,13,14,37,10,17,9,3
4,16,11,10,12,31,26,12,12,15,15,15,44,12,18,10,4
5,20,13,11,13,34,29,13,14,17,17,17,51,14,19,11,5
6,25,15,12,14,38,32,14,16,19,19,19,58,15,20,12,6
7,29,18,13,16,41,35,15,17,21,21,21,66,16,21,13,7
8,33,20,14,17,44,38,16,19,23,23,23,73,17,22,14,8
9,37,23,15,18,48,41,17,21,26,25,24,80,19,23,15,9
10,41,25,16,19,51,44,18,22,28,26,26,87,20,24,16,10
11,44,27,17,20,55,47,19,24,30,28,28,94,21,25,17,11
12,48,30,18,21,58,50,20,26,32,30,29,99,22,26,18,12
13,52,32,19,22,62,52,21,27,34,31,30,105,23,27,19,13
14,55,34,20,,65,55,22,28,35,33,32,109,24,28,20,14
15,58,36,21,23,68,58,23,29,36,34,33,114,26,29,21,15
16,60,38,22,24,72,60,24,30,37,36,34,122,27,30,,16
17,61,40,23,25,75,63,25,31,38,38,35,126,28,31,22,17
18,63,41,24,26,79,65,26,32,39,40,36,132,29,32,23,18
19,68,44,32,28,119,68,30,35,42,60,38,136,33,34,24,19
