Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,6,6,6,9,22,18,10,8,10,10,11,26,9,16,8,1
2,10,8,7,10,24,21,11,10,12,12,12,32,10,17,9,2
3,14,10,9,11,27,25,12,12,14,14,15,39,11,18,10,3
4,18,13,10,12,32,29,13,13,17,16,17,46,12,19,11,4
5,22,15,11,13,34,32,14,15,19,18,19,53,14,20,12,5
6,26,17,12,14,39,35,15,17,21,20,21,60,15,21,14,6
7,30,20,13,16,42,37,16,18,23,22,23,67,17,22,15,7
8,34,22,14,17,44,40,17,20,25,24,24,74,18,23,16,8
9,38,24,15,18,49,42,18,22,27,26,26,81,20,24,17,9
10,43,26,16,19,54,45,19,23,29,28,28,88,21,25,18,10
11,47,28,17,20,58,47,20,25,31,29,30,95,22,26,19,11
12,51,30,18,21,63,50,,26,33,31,31,100,23,27,,12
13,55,32,19,22,68,53,21,27,34,32,32,106,24,28,20,13
14,58,34,20,23,72,55,22,29,35,34,33,110,26,29,,14
15,60,36,21,24,74,58,23,30,36,36,34,116,27,,21,15
16,62,38,22,25,78,60,24,31,37,37,35,123,28,30,22,16
17,63,40,24,26,82,63,25,32,38,39,36,127,29,31,,17
18,64,42,25,27,86,66,26,33,39,41,37,133,30,32,23,18
19,68,44,32,28,119,68,30,35,42,60,38,136,33,34,24,19
