name,atom,M0,P11
DMCM,H2R,0.08355000,2.43699000 0.00000000 0.00000000 2.43699000 0.00000000 2.43699000
DMCM,H2S,0.08355000,2.43699000 0.00000000 0.00000000 2.43699000 0.00000000 2.43699000
DMCM,H2X,0.09061000,2.41733000 0.00000000 0.00000000 2.41733000 0.00000000 2.41733000
DMCM,H2Y,0.09061000,2.41733000 0.00000000 0.00000000 2.41733000 0.00000000 2.41733000
DMCM,H3R,0.00964000,2.47074000 0.00000000 0.00000000 2.47074000 0.00000000 2.47074000
DMCM,H3S,0.00964000,2.47075000 0.00000000 0.00000000 2.47075000 0.00000000 2.47075000
DMCM,H3X,0.00267000,2.44185000 0.00000000 0.00000000 2.44185000 0.00000000 2.44185000
DMCM,H3Y,0.00267000,2.44184000 0.00000000 0.00000000 2.44184000 0.00000000 2.44184000
DMCM,H4R,-0.00328000,2.48796000 0.00000000 0.00000000 2.48796000 0.00000000 2.48796000
DMCM,H4S,-0.00328000,2.48796000 0.00000000 0.00000000 2.48796000 0.00000000 2.48796000
DMCM,H4X,-0.00558000,2.52976000 0.00000000 0.00000000 2.52976000 0.00000000 2.52976000
DMCM,H4Y,-0.00558000,2.52976000 0.00000000 0.00000000 2.52976000 0.00000000 2.52976000
DMCM,H5R,0.01570000,2.53233000 0.00000000 0.00000000 2.53233000 0.00000000 2.53233000
DMCM,H5S,0.01570000,2.53233000 0.00000000 0.00000000 2.53233000 0.00000000 2.53233000
DMCM,H5X,0.01979000,2.52459000 0.00000000 0.00000000 2.52459000 0.00000000 2.52459000
DMCM,H5Y,0.01979000,2.52459000 0.00000000 0.00000000 2.52459000 0.00000000 2.52459000
DMCM,H6R,0.00008000,2.53056000 0.00000000 0.00000000 2.53056000 0.00000000 2.53056000
DMCM,H6S,0.00008000,2.53056000 0.00000000 0.00000000 2.53056000 0.00000000 2.53056000
DMCM,H6X,0.00302000,2.53784000 0.00000000 0.00000000 2.53784000 0.00000000 2.53784000
DMCM,H6Y,0.00302000,2.53784000 0.00000000 0.00000000 2.53784000 0.00000000 2.53784000
DMCM,H7R,0.00339000,2.52610000 0.00000000 0.00000000 2.52610000 0.00000000 2.52610000
DMCM,H7S,0.00339000,2.52610000 0.00000000 0.00000000 2.52610000 0.00000000 2.52610000
DMCM,H7X,0.00030000,2.54944000 0.00000000 0.00000000 2.54944000 0.00000000 2.54944000
DMCM,H7Y,0.00030000,2.54944000 0.00000000 0.00000000 2.54944000 0.00000000 2.54944000
DMCM,H8R,0.00541000,2.53908000 0.00000000 0.00000000 2.53908000 0.00000000 2.53908000
DMCM,H8S,0.00542000,2.53908000 0.00000000 0.00000000 2.53908000 0.00000000 2.53908000
DMCM,H8X,0.01085000,2.53717000 0.00000000 0.00000000 2.53717000 0.00000000 2.53717000
DMCM,H8Y,0.01085000,2.53717000 0.00000000 0.00000000 2.53717000 0.00000000 2.53717000
DMCM,H9R,0.00325000,2.54421000 0.00000000 0.00000000 2.54421000 0.00000000 2.54421000
DMCM,H9S,0.00326000,2.54421000 0.00000000 0.00000000 2.54421000 0.00000000 2.54421000
DMCM,H9X,0.00336000,2.52570000 0.00000000 0.00000000 2.52570000 0.00000000 2.52570000
DMCM,H9Y,0.00336000,2.52570000 0.00000000 0.00000000 2.52570000 0.00000000 2.52570000
DMCH,HA,0.05278000,2.39463000 0.00000000 0.00000000 2.39463000 0.00000000 2.39463000
DMCH,HB,0.05278000,2.39463000 0.00000000 0.00000000 2.39463000 0.00000000 2.39463000
DMCH,HS,0.07028000,2.04722000 0.00000000 0.00000000 2.04722000 0.00000000 2.04722000
DMCH,HX,0.07533000,2.29822000 0.00000000 0.00000000 2.29822000 0.00000000 2.29822000
DMCH,HY,0.07533000,2.29822000 0.00000000 0.00000000 2.29822000 0.00000000 2.29822000
DMCH,N,0.18522000,7.14440000 0.00000000 0.00000000 7.14440000 0.00000000 7.14440000
DMCH,O11,-0.43447000,6.88496000 0.00000000 0.00000000 6.88496000 0.00000000 6.88496000
DMCH,O12,-0.49265000,6.93574000 0.00000000 0.00000000 6.93574000 0.00000000 6.93574000
DMCH,O13,-0.78864000,6.83184000 0.00000000 0.00000000 6.83184000 0.00000000 6.83184000
DMCH,O14,-0.78864000,6.83184000 0.00000000 0.00000000 6.83184000 0.00000000 6.83184000
DMCH,O21,-0.39427000,6.19316000 0.00000000 0.00000000 6.19316000 0.00000000 6.19316000
DMCH,O22,-0.55969000,5.15933000 0.00000000 0.00000000 5.15933000 0.00000000 5.15933000
DMCH,O31,-0.38908000,6.52443000 0.00000000 0.00000000 6.52443000 0.00000000 6.52443000
DMCH,O32,-0.56415000,5.35035000 0.00000000 0.00000000 5.35035000 0.00000000 5.35035000
DMCH,P,1.31453000,11.77389000 0.00000000 0.00000000 11.77389000 0.00000000 11.77389000
POCH,C1,0.02133000,7.96015000 0.00000000 0.00000000 7.96015000 0.00000000 7.96015000
POCH,C11,0.39131000,8.03405000 0.00000000 0.00000000 8.03405000 0.00000000 8.03405000
POCH,C12,-0.14027000,7.68164000 0.00000000 0.00000000 7.68164000 0.00000000 7.68164000
POCH,C13,-0.32324000,5.89373000 0.00000000 0.00000000 5.89373000 0.00000000 5.89373000
POCH,C14,-0.32324000,5.89373000 0.00000000 0.00000000 5.89373000 0.00000000 5.89373000
POCH,C15,-0.32324000,5.89373000 0.00000000 0.00000000 5.89373000 0.00000000 5.89373000
POCH,C2,0.36325000,8.40321000 0.00000000 0.00000000 8.40321000 0.00000000 8.40321000
POCH,C21,0.73033000,7.46244000 0.00000000 0.00000000 7.46244000 0.00000000 7.46244000
POCO,C210,-0.23365000,10.50043000 0.00000000 0.00000000 10.50043000 0.00000000 10.50043000
POCO,C211,0.12881000,8.00110000 0.00000000 0.00000000 8.00110000 0.00000000 8.00110000
POCO,C212,-0.05812000,8.06332000 0.00000000 0.00000000 8.06332000 0.00000000 8.06332000
POCO,C213,-0.01578000,7.89216000 0.00000000 0.00000000 7.89216000 0.00000000 7.89216000
POCO,C214,-0.00536000,7.84086000 0.00000000 0.00000000 7.84086000 0.00000000 7.84086000
POCO,C215,-0.03499000,7.74208000 0.00000000 0.00000000 7.74208000 0.00000000 7.74208000
POCO,C216,-0.03720000,7.66999000 0.00000000 0.00000000 7.66999000 0.00000000 7.66999000
POCO,C217,0.15843000,7.50917000 0.00000000 0.00000000 7.50917000 0.00000000 7.50917000
POCO,C218,-0.21225000,7.36512000 0.00000000 0.00000000 7.36512000 0.00000000 7.36512000
POCO,C22,-0.19668000,8.02223000 0.00000000 0.00000000 8.02223000 0.00000000 8.02223000
POCO,C23,-0.00377000,7.86563000 0.00000000 0.00000000 7.86563000 0.00000000 7.86563000
POCO,C24,0.03579000,7.82671000 0.00000000 0.00000000 7.82671000 0.00000000 7.82671000
POCO,C25,-0.06876000,7.86703000 0.00000000 0.00000000 7.86703000 0.00000000 7.86703000
POCO,C26,-0.01298000,7.89255000 0.00000000 0.00000000 7.89255000 0.00000000 7.89255000
POCO,C27,-0.07270000,8.06196000 0.00000000 0.00000000 8.06196000 0.00000000 8.06196000
POCO,C28,0.16450000,7.99647000 0.00000000 0.00000000 7.99647000 0.00000000 7.99647000
POCO,C29,-0.25728000,10.51216000 0.00000000 0.00000000 10.51216000 0.00000000 10.51216000
POCH,C3,0.13278000,7.63313000 0.00000000 0.00000000 7.63313000 0.00000000 7.63313000
POCH,C31,0.74848000,7.62857000 0.00000000 0.00000000 7.62857000 0.00000000 7.62857000
POCP,C310,-0.01684000,7.86142000 0.00000000 0.00000000 7.86142000 0.00000000 7.86142000
POCP,C311,-0.00772000,7.83251000 0.00000000 0.00000000 7.83251000 0.00000000 7.83251000
POCP,C312,-0.01829000,7.81978000 0.00000000 0.00000000 7.81978000 0.00000000 7.81978000
POCP,C313,-0.02620000,7.74269000 0.00000000 0.00000000 7.74269000 0.00000000 7.74269000
POCP,C314,-0.05398000,7.64231000 0.00000000 0.00000000 7.64231000 0.00000000 7.64231000
POCP,C315,0.14926000,7.52222000 0.00000000 0.00000000 7.52222000 0.00000000 7.52222000
POCP,C316,-0.21467000,7.39704000 0.00000000 0.00000000 7.39704000 0.00000000 7.39704000
POCP,C32,-0.25147000,8.15964000 0.00000000 0.00000000 8.15964000 0.00000000 8.15964000
POCP,C33,0.05067000,7.89383000 0.00000000 0.00000000 7.89383000 0.00000000 7.89383000
POCP,C34,0.00950000,7.86137000 0.00000000 0.00000000 7.86137000 0.00000000 7.86137000
POCP,C35,-0.04604000,7.86562000 0.00000000 0.00000000 7.86562000 0.00000000 7.86562000
POCP,C36,-0.03203000,7.88114000 0.00000000 0.00000000 7.88114000 0.00000000 7.88114000
POCP,C37,-0.01920000,7.87902000 0.00000000 0.00000000 7.87902000 0.00000000 7.87902000
POCP,C38,-0.00750000,7.87601000 0.00000000 0.00000000 7.87601000 0.00000000 7.87601000
POCP,C39,-0.01628000,7.87441000 0.00000000 0.00000000 7.87441000 0.00000000 7.87441000
POCO,H101,0.11381000,2.71627000 0.00000000 0.00000000 2.71627000 0.00000000 2.71627000
POCP,H10X,0.00766000,2.55473000 0.00000000 0.00000000 2.55473000 0.00000000 2.55473000
POCP,H10Y,0.00766000,2.55473000 0.00000000 0.00000000 2.55473000 0.00000000 2.55473000
POCH,H11A,-0.02945000,2.34288000 0.00000000 0.00000000 2.34288000 0.00000000 2.34288000
POCH,H11B,-0.02945000,2.34288000 0.00000000 0.00000000 2.34288000 0.00000000 2.34288000
POCO,H11R,0.00413000,2.51099000 0.00000000 0.00000000 2.51099000 0.00000000 2.51099000
POCO,H11S,0.00413000,2.51099000 0.00000000 0.00000000 2.51099000 0.00000000 2.51099000
POCP,H11X,0.00618000,2.54017000 0.00000000 0.00000000 2.54017000 0.00000000 2.54017000
POCP,H11Y,0.00618000,2.54017000 0.00000000 0.00000000 2.54017000 0.00000000 2.54017000
POCH,H12A,0.10144000,2.01459000 0.00000000 0.00000000 2.01459000 0.00000000 2.01459000
POCH,H12B,0.10144000,2.01459000 0.00000000 0.00000000 2.01459000 0.00000000 2.01459000
POCO,H12R,0.01958000,2.57419000 0.00000000 0.00000000 2.57419000 0.00000000 2.57419000
POCO,H12S,0.01958000,2.57419000 0.00000000 0.00000000 2.57419000 0.00000000 2.57419000
POCP,H12X,0.00966000,2.54186000 0.00000000 0.00000000 2.54186000 0.00000000 2.54186000
POCP,H12Y,0.00966000,2.54186000 0.00000000 0.00000000 2.54186000 0.00000000 2.54186000
POCH,H13A,0.15725000,2.02965000 0.00000000 0.00000000 2.02965000 0.00000000 2.02965000
POCH,H13B,0.15725000,2.02965000 0.00000000 0.00000000 2.02965000 0.00000000 2.02965000
POCH,H13C,0.15725000,2.02965000 0.00000000 0.00000000 2.02965000 0.00000000 2.02965000
POCO,H13R,0.00977000,2.52208000 0.00000000 0.00000000 2.52208000 0.00000000 2.52208000
POCO,H13S,0.00977000,2.52208000 0.00000000 0.00000000 2.52208000 0.00000000 2.52208000
POCP,H13X,0.01140000,2.53725000 0.00000000 0.00000000 2.53725000 0.00000000 2.53725000
POCP,H13Y,0.01140000,2.53725000 0.00000000 0.00000000 2.53725000 0.00000000 2.53725000
POCH,H14A,0.15725000,2.02965000 0.00000000 0.00000000 2.02965000 0.00000000 2.02965000
POCH,H14B,0.15725000,2.02965000 0.00000000 0.00000000 2.02965000 0.00000000 2.02965000
POCH,H14C,0.15725000,2.02965000 0.00000000 0.00000000 2.02965000 0.00000000 2.02965000
POCO,H14R,0.00793000,2.54965000 0.00000000 0.00000000 2.54965000 0.00000000 2.54965000
POCO,H14S,0.00793000,2.54965000 0.00000000 0.00000000 2.54965000 0.00000000 2.54965000
POCP,H14X,0.01499000,2.57044000 0.00000000 0.00000000 2.57044000 0.00000000 2.57044000
POCP,H14Y,0.01499000,2.57044000 0.00000000 0.00000000 2.57044000 0.00000000 2.57044000
POCH,H15A,0.15725000,2.02965000 0.00000000 0.00000000 2.02965000 0.00000000 2.02965000
POCH,H15B,0.15725000,2.02965000 0.00000000 0.00000000 2.02965000 0.00000000 2.02965000
POCH,H15C,0.15725000,2.02965000 0.00000000 0.00000000 2.02965000 0.00000000 2.02965000
POCO,H15R,0.01259000,2.53323000 0.00000000 0.00000000 2.53323000 0.00000000 2.53323000
POCO,H15S,0.01259000,2.53323000 0.00000000 0.00000000 2.53323000 0.00000000 2.53323000
POCP,H15X,-0.02288000,2.60051000 0.00000000 0.00000000 2.60051000 0.00000000 2.60051000
POCP,H15Y,-0.02288000,2.60051000 0.00000000 0.00000000 2.60051000 0.00000000 2.60051000
POCO,H16R,0.00930000,2.57487000 0.00000000 0.00000000 2.57487000 0.00000000 2.57487000
POCO,H16S,0.00930000,2.57487000 0.00000000 0.00000000 2.57487000 0.00000000 2.57487000
POCP,H16X,0.04464000,2.67429000 0.00000000 0.00000000 2.67429000 0.00000000 2.67429000
POCP,H16Y,0.04464000,2.67429000 0.00000000 0.00000000 2.67429000 0.00000000 2.67429000
POCP,H16Z,0.04464000,2.67429000 0.00000000 0.00000000 2.67429000 0.00000000 2.67429000
POCO,H17R,-0.02751000,2.60709000 0.00000000 0.00000000 2.60709000 0.00000000 2.60709000
POCO,H17S,-0.02751000,2.60709000 0.00000000 0.00000000 2.60709000 0.00000000 2.60709000
POCO,H18R,0.04308000,2.66920000 0.00000000 0.00000000 2.66920000 0.00000000 2.66920000
POCO,H18S,0.04308000,2.66920000 0.00000000 0.00000000 2.66920000 0.00000000 2.66920000
POCO,H18T,0.04308000,2.66920000 0.00000000 0.00000000 2.66920000 0.00000000 2.66920000
POCO,H2R,0.06469000,2.42043000 0.00000000 0.00000000 2.42043000 0.00000000 2.42043000
POCO,H2S,0.06469000,2.42043000 0.00000000 0.00000000 2.42043000 0.00000000 2.42043000
POCP,H2X,0.07476000,2.41125000 0.00000000 0.00000000 2.41125000 0.00000000 2.41125000
POCP,H2Y,0.07476000,2.41125000 0.00000000 0.00000000 2.41125000 0.00000000 2.41125000
POCO,H3R,0.01692000,2.48118000 0.00000000 0.00000000 2.48118000 0.00000000 2.48118000
POCO,H3S,0.01692000,2.48118000 0.00000000 0.00000000 2.48118000 0.00000000 2.48118000
POCP,H3X,0.00561000,2.47656000 0.00000000 0.00000000 2.47656000 0.00000000 2.47656000
POCP,H3Y,0.00561000,2.47656000 0.00000000 0.00000000 2.47656000 0.00000000 2.47656000
POCO,H4R,0.00007000,2.48803000 0.00000000 0.00000000 2.48803000 0.00000000 2.48803000
POCO,H4S,0.00007000,2.48803000 0.00000000 0.00000000 2.48803000 0.00000000 2.48803000
POCP,H4X,0.00564000,2.51095000 0.00000000 0.00000000 2.51095000 0.00000000 2.51095000
POCP,H4Y,0.00564000,2.51095000 0.00000000 0.00000000 2.51095000 0.00000000 2.51095000
POCO,H5R,0.02210000,2.52296000 0.00000000 0.00000000 2.52296000 0.00000000 2.52296000
POCO,H5S,0.02210000,2.52296000 0.00000000 0.00000000 2.52296000 0.00000000 2.52296000
POCP,H5X,0.01733000,2.51567000 0.00000000 0.00000000 2.51567000 0.00000000 2.51567000
POCP,H5Y,0.01733000,2.51567000 0.00000000 0.00000000 2.51567000 0.00000000 2.51567000
POCO,H6R,0.01158000,2.52653000 0.00000000 0.00000000 2.52653000 0.00000000 2.52653000
POCO,H6S,0.01158000,2.52653000 0.00000000 0.00000000 2.52653000 0.00000000 2.52653000
POCP,H6X,0.01411000,2.54123000 0.00000000 0.00000000 2.54123000 0.00000000 2.54123000
POCP,H6Y,0.01411000,2.54123000 0.00000000 0.00000000 2.54123000 0.00000000 2.54123000
POCO,H7R,0.02310000,2.57246000 0.00000000 0.00000000 2.57246000 0.00000000 2.57246000
POCO,H7S,0.02310000,2.57246000 0.00000000 0.00000000 2.57246000 0.00000000 2.57246000
POCP,H7X,0.01014000,2.54503000 0.00000000 0.00000000 2.54503000 0.00000000 2.54503000
POCP,H7Y,0.01014000,2.54503000 0.00000000 0.00000000 2.54503000 0.00000000 2.54503000
POCO,H8R,-0.00122000,2.48623000 0.00000000 0.00000000 2.48623000 0.00000000 2.48623000
POCO,H8S,-0.00122000,2.48623000 0.00000000 0.00000000 2.48623000 0.00000000 2.48623000
POCP,H8X,0.00689000,2.53802000 0.00000000 0.00000000 2.53802000 0.00000000 2.53802000
POCP,H8Y,0.00689000,2.53802000 0.00000000 0.00000000 2.53802000 0.00000000 2.53802000
POCO,H91,0.11320000,2.71434000 0.00000000 0.00000000 2.71434000 0.00000000 2.71434000
POCP,H9X,0.00735000,2.55353000 0.00000000 0.00000000 2.55353000 0.00000000 2.55353000
POCP,H9Y,0.00735000,2.55353000 0.00000000 0.00000000 2.55353000 0.00000000 2.55353000
POCH,HA,0.04814000,2.39094000 0.00000000 0.00000000 2.39094000 0.00000000 2.39094000
POCH,HB,0.04814000,2.39094000 0.00000000 0.00000000 2.39094000 0.00000000 2.39094000
POCH,HS,0.03116000,2.05077000 0.00000000 0.00000000 2.05077000 0.00000000 2.05077000
POCH,HX,0.03915000,2.29614000 0.00000000 0.00000000 2.29614000 0.00000000 2.29614000
POCH,HY,0.03915000,2.29614000 0.00000000 0.00000000 2.29614000 0.00000000 2.29614000
POCH,N,0.19407000,7.12680000 0.00000000 0.00000000 7.12680000 0.00000000 7.12680000
POCH,O11,-0.43738000,6.83209000 0.00000000 0.00000000 6.83209000 0.00000000 6.83209000
POCH,O12,-0.48398000,6.97184000 0.00000000 0.00000000 6.97184000 0.00000000 6.97184000
POCH,O13,-0.78682000,6.79459000 0.00000000 0.00000000 6.79459000 0.00000000 6.79459000
POCH,O14,-0.78682000,6.79459000 0.00000000 0.00000000 6.79459000 0.00000000 6.79459000
POCH,O21,-0.43933000,6.21300000 0.00000000 0.00000000 6.21300000 0.00000000 6.21300000
POCH,O22,-0.56551000,5.20641000 0.00000000 0.00000000 5.20641000 0.00000000 5.20641000
POCH,O31,-0.43271000,6.51932000 0.00000000 0.00000000 6.51932000 0.00000000 6.51932000
POCH,O32,-0.55952000,5.28506000 0.00000000 0.00000000 5.28506000 0.00000000 5.28506000
POCH,P,1.30437000,11.72633000 0.00000000 0.00000000 11.72633000 0.00000000 11.72633000
POSH,C1,0.02905000,8.20360000 0.00000000 0.00000000 8.20360000 0.00000000 8.20360000
POSH,C11,0.38499000,8.18597000 0.00000000 0.00000000 8.18597000 0.00000000 8.18597000
POSH,C12,-0.37578000,10.36373000 0.00000000 0.00000000 10.36373000 0.00000000 10.36373000
POSH,C13,0.83249000,10.10036000 0.00000000 0.00000000 10.10036000 0.00000000 10.10036000
POSH,C2,0.40685000,8.57176000 0.00000000 0.00000000 8.57176000 0.00000000 8.57176000
POSH,C21,0.75190000,7.52183000 0.00000000 0.00000000 7.52183000 0.00000000 7.52183000
POSO,C210,-0.25591000,10.59231000 0.00000000 0.00000000 10.59231000 0.00000000 10.59231000
POSO,C211,0.15377000,8.05756000 0.00000000 0.00000000 8.05756000 0.00000000 8.05756000
POSO,C212,-0.05179000,8.09573000 0.00000000 0.00000000 8.09573000 0.00000000 8.09573000
POSO,C213,-0.01689000,7.95315000 0.00000000 0.00000000 7.95315000 0.00000000 7.95315000
POSO,C214,0.00052000,7.86746000 0.00000000 0.00000000 7.86746000 0.00000000 7.86746000
POSO,C215,-0.03305000,7.77252000 0.00000000 0.00000000 7.77252000 0.00000000 7.77252000
POSO,C216,-0.04554000,7.70116000 0.00000000 0.00000000 7.70116000 0.00000000 7.70116000
POSO,C217,0.15302000,7.54384000 0.00000000 0.00000000 7.54384000 0.00000000 7.54384000
POSO,C218,-0.20491000,7.42258000 0.00000000 0.00000000 7.42258000 0.00000000 7.42258000
POSO,C22,-0.20878000,8.08187000 0.00000000 0.00000000 8.08187000 0.00000000 8.08187000
POSO,C23,0.01878000,7.92481000 0.00000000 0.00000000 7.92481000 0.00000000 7.92481000
POSO,C24,0.01470000,7.91490000 0.00000000 0.00000000 7.91490000 0.00000000 7.91490000
POSO,C25,-0.08313000,8.00164000 0.00000000 0.00000000 8.00164000 0.00000000 8.00164000
POSO,C26,0.00442000,7.93281000 0.00000000 0.00000000 7.93281000 0.00000000 7.93281000
POSO,C27,-0.07187000,8.08784000 0.00000000 0.00000000 8.08784000 0.00000000 8.08784000
POSO,C28,0.12331000,8.02497000 0.00000000 0.00000000 8.02497000 0.00000000 8.02497000
POSO,C29,-0.22400000,10.57213000 0.00000000 0.00000000 10.57213000 0.00000000 10.57213000
POSH,C3,0.12652000,7.68507000 0.00000000 0.00000000 7.68507000 0.00000000 7.68507000
POSH,C31,0.76625000,7.69454000 0.00000000 0.00000000 7.69454000 0.00000000 7.69454000
