name,atom,M0,P11
DMCH,C1,0.03716000,7.97663000 0.00000000 0.00000000 7.97663000 0.00000000 7.97663000
DMCH,C11,0.39593000,8.06069000 0.00000000 0.00000000 8.06069000 0.00000000 8.06069000
DMCH,C12,-0.10528000,7.70902000 0.00000000 0.00000000 7.70902000 0.00000000 7.70902000
DMCH,C13,-0.32653000,5.89853000 0.00000000 0.00000000 5.89853000 0.00000000 5.89853000
DMCH,C14,-0.32653000,5.89853000 0.00000000 0.00000000 5.89853000 0.00000000 5.89853000
DMCH,C15,-0.32653000,5.89853000 0.00000000 0.00000000 5.89853000 0.00000000 5.89853000
DMCH,C2,0.24835000,8.38848000 0.00000000 0.00000000 8.38848000 0.00000000 8.38848000
DMCH,C21,0.74569000,7.42465000 0.00000000 0.00000000 7.42465000 0.00000000 7.42465000
DMCM,C210,-0.01464000,7.78764000 0.00000000 0.00000000 7.78764000 0.00000000 7.78764000
DMCM,C211,-0.02749000,7.73344000 0.00000000 0.00000000 7.73344000 0.00000000 7.73344000
DMCM,C212,-0.06066000,7.62789000 0.00000000 0.00000000 7.62789000 0.00000000 7.62789000
DMCM,C213,0.18563000,7.46784000 0.00000000 0.00000000 7.46784000 0.00000000 7.46784000
DMCM,C214,-0.28337000,7.34751000 0.00000000 0.00000000 7.34751000 0.00000000 7.34751000
DMCM,C22,-0.29618000,8.02618000 0.00000000 0.00000000 8.02618000 0.00000000 8.02618000
DMCM,C23,0.04668000,7.82164000 0.00000000 0.00000000 7.82164000 0.00000000 7.82164000
DMCM,C24,0.04863000,7.80341000 0.00000000 0.00000000 7.80341000 0.00000000 7.80341000
DMCM,C25,-0.07811000,7.85417000 0.00000000 0.00000000 7.85417000 0.00000000 7.85417000
DMCM,C26,0.01701000,7.82394000 0.00000000 0.00000000 7.82394000 0.00000000 7.82394000
DMCM,C27,-0.00203000,7.82818000 0.00000000 0.00000000 7.82818000 0.00000000 7.82818000
DMCM,C28,-0.01820000,7.85395000 0.00000000 0.00000000 7.85395000 0.00000000 7.85395000
DMCM,C29,-0.00072000,7.83648000 0.00000000 0.00000000 7.83648000 0.00000000 7.83648000
DMCH,C3,0.03364000,7.65611000 0.00000000 0.00000000 7.65611000 0.00000000 7.65611000
DMCH,C31,0.77165000,7.68888000 0.00000000 0.00000000 7.68888000 0.00000000 7.68888000
DMCM,C310,-0.01669000,7.81386000 0.00000000 0.00000000 7.81386000 0.00000000 7.81386000
DMCM,C311,-0.02420000,7.69955000 0.00000000 0.00000000 7.69955000 0.00000000 7.69955000
DMCM,C312,-0.05716000,7.60080000 0.00000000 0.00000000 7.60080000 0.00000000 7.60080000
DMCM,C313,0.17025000,7.47198000 0.00000000 0.00000000 7.47198000 0.00000000 7.47198000
DMCM,C314,-0.27852000,7.37405000 0.00000000 0.00000000 7.37405000 0.00000000 7.37405000
DMCM,C32,-0.33302000,8.18846000 0.00000000 0.00000000 8.18846000 0.00000000 8.18846000
DMCM,C33,0.06837000,7.87963000 0.00000000 0.00000000 7.87963000 0.00000000 7.87963000
DMCM,C34,0.05825000,7.88149000 0.00000000 0.00000000 7.88149000 0.00000000 7.88149000
DMCM,C35,-0.07883000,7.85694000 0.00000000 0.00000000 7.85694000 0.00000000 7.85694000
DMCM,C36,-0.00254000,7.85594000 0.00000000 0.00000000 7.85594000 0.00000000 7.85594000
DMCM,C37,0.01224000,7.88044000 0.00000000 0.00000000 7.88044000 0.00000000 7.88044000
DMCM,C38,-0.03737000,7.86703000 0.00000000 0.00000000 7.86703000 0.00000000 7.86703000
DMCM,C39,0.01077000,7.81587000 0.00000000 0.00000000 7.81587000 0.00000000 7.81587000
DMCM,H10R,0.00945000,2.53177000 0.00000000 0.00000000 2.53177000 0.00000000 2.53177000
DMCM,H10S,0.00945000,2.53177000 0.00000000 0.00000000 2.53177000 0.00000000 2.53177000
DMCM,H10X,0.00696000,2.55007000 0.00000000 0.00000000 2.55007000 0.00000000 2.55007000
DMCM,H10Y,0.00696000,2.55007000 0.00000000 0.00000000 2.55007000 0.00000000 2.55007000
DMCH,H11A,-0.03088000,2.33148000 0.00000000 0.00000000 2.33148000 0.00000000 2.33148000
DMCH,H11B,-0.03088000,2.33148000 0.00000000 0.00000000 2.33148000 0.00000000 2.33148000
DMCM,H11R,0.01010000,2.53968000 0.00000000 0.00000000 2.53968000 0.00000000 2.53968000
DMCM,H11S,0.01010000,2.53968000 0.00000000 0.00000000 2.53968000 0.00000000 2.53968000
DMCM,H11X,0.00903000,2.53706000 0.00000000 0.00000000 2.53706000 0.00000000 2.53706000
DMCM,H11Y,0.00903000,2.53706000 0.00000000 0.00000000 2.53706000 0.00000000 2.53706000
DMCH,H12A,0.09095000,2.01348000 0.00000000 0.00000000 2.01348000 0.00000000 2.01348000
DMCH,H12B,0.09095000,2.01348000 0.00000000 0.00000000 2.01348000 0.00000000 2.01348000
DMCM,H12R,0.01472000,2.57612000 0.00000000 0.00000000 2.57612000 0.00000000 2.57612000
DMCM,H12S,0.01472000,2.57612000 0.00000000 0.00000000 2.57612000 0.00000000 2.57612000
DMCM,H12X,0.01586000,2.57520000 0.00000000 0.00000000 2.57520000 0.00000000 2.57520000
DMCM,H12Y,0.01586000,2.57520000 0.00000000 0.00000000 2.57520000 0.00000000 2.57520000
DMCH,H13A,0.15844000,2.03057000 0.00000000 0.00000000 2.03057000 0.00000000 2.03057000
DMCH,H13B,0.15844000,2.03057000 0.00000000 0.00000000 2.03057000 0.00000000 2.03057000
DMCH,H13C,0.15844000,2.03057000 0.00000000 0.00000000 2.03057000 0.00000000 2.03057000
DMCM,H13R,-0.02827000,2.60327000 0.00000000 0.00000000 2.60327000 0.00000000 2.60327000
DMCM,H13S,-0.02827000,2.60327000 0.00000000 0.00000000 2.60327000 0.00000000 2.60327000
DMCM,H13X,-0.02360000,2.59025000 0.00000000 0.00000000 2.59025000 0.00000000 2.59025000
DMCM,H13Y,-0.02360000,2.59025000 0.00000000 0.00000000 2.59025000 0.00000000 2.59025000
DMCH,H14A,0.15844000,2.03057000 0.00000000 0.00000000 2.03057000 0.00000000 2.03057000
DMCH,H14B,0.15844000,2.03057000 0.00000000 0.00000000 2.03057000 0.00000000 2.03057000
DMCH,H14C,0.15844000,2.03057000 0.00000000 0.00000000 2.03057000 0.00000000 2.03057000
DMCM,H14R,0.06209000,2.67523000 0.00000000 0.00000000 2.67523000 0.00000000 2.67523000
DMCM,H14S,0.06209000,2.67523000 0.00000000 0.00000000 2.67523000 0.00000000 2.67523000
DMCM,H14T,0.06209000,2.67523000 0.00000000 0.00000000 2.67523000 0.00000000 2.67523000
DMCM,H14X,0.06108000,2.67907000 0.00000000 0.00000000 2.67907000 0.00000000 2.67907000
DMCM,H14Y,0.06108000,2.67907000 0.00000000 0.00000000 2.67907000 0.00000000 2.67907000
DMCM,H14Z,0.06108000,2.67907000 0.00000000 0.00000000 2.67907000 0.00000000 2.67907000
DMCH,H15A,0.15844000,2.03057000 0.00000000 0.00000000 2.03057000 0.00000000 2.03057000
DMCH,H15B,0.15844000,2.03057000 0.00000000 0.00000000 2.03057000 0.00000000 2.03057000
DMCH,H15C,0.15844000,2.03057000 0.00000000 0.00000000 2.03057000 0.00000000 2.03057000
