name,atom,M0
HOH,O,-0.834
HOH,OW,-0.834
HOH,H,0.417
HOH,H1,0.417
HOH,H2,0.417
HOH,HW,0.417
HOH,HW1,0.417
HOH,HW2,0.417
WAT,O,-0.834
WAT,OW,-0.834
WAT,H,0.417
WAT,H1,0.417
WAT,H2,0.417
WAT,HW,0.417
WAT,HW1,0.417
WAT,HW2,0.417
CA,CA,2.0
CL,CL,-1.0
NA,NA,1.0
MG,MG,2.0
K,K,1.0
RB,RB,1.0
CS,CS,1.0
LI,LI,1.0
ZN,ZN,2.0
ACE,CH3,-0.190264
ACE,HH31,0.07601
ACE,HH32,0.076011
ACE,HH33,0.07601
ACE,C,0.512403
ACE,O,-0.55017
NME,N,-0.423888
NME,H,0.290111
NME,CH3,-0.054293
NME,HH31,0.06269
NME,HH32,0.06269
NME,HH33,0.06269
NHE,N,-0.463
NHE,H1,0.2315
NHE,H2,0.2315
NH2,N,-0.463
NH2,H1,0.2315
NH2,H2,0.2315
ALA,N,-0.404773
ALA,HN,0.294276
ALA,H,0.294276
ALA,CA,-0.027733
ALA,HA,0.120802
ALA,CB,-0.229951
ALA,HB,0.077428
ALA,HB1,0.077428
ALA,1HB,0.077428
ALA,HB2,0.077428
ALA,2HB,0.077428
ALA,HB3,0.077428
ALA,3HB,0.077428
ALA,C,0.570224
ALA,O,-0.555129
GLY,N,-0.374282
GLY,HN,0.253981
GLY,H,0.253981
GLY,CA,-0.128844
GLY,HA,0.088859
GLY,HA2,0.088859
GLY,1HA,0.088859
GLY,HA1,0.088859
GLY,HA3,0.088859
GLY,2HA,0.088859
GLY,C,0.580584
GLY,O,-0.509157
SER,N,-0.54143
SER,HN,0.345415
SER,H,0.345415
SER,CA,0.11814
SER,HA,0.142177
SER,CB,0.146998
SER,HB,0.040081
SER,HB2,0.040081
SER,1HB,0.040081
SER,HB1,0.040081
SER,HB3,0.040081
SER,2HB,0.040081
SER,OG,-0.640312
SER,HG,0.446255
SER,HG1,0.446255
SER,C,0.483424
SER,O,-0.580829
THR,N,-0.245382
THR,HN,0.255339
THR,H,0.255339
THR,CA,-0.271249
THR,HA,0.163757
THR,CB,0.237868
THR,HB,0.044688
THR,CG,-0.176489
THR,CG2,-0.176489
THR,HG2,0.060019
THR,HG21,0.060019
THR,1HG2,0.060019
THR,HG22,0.060019
THR,2HG2,0.060019
THR,HG23,0.060019
THR,3HG2,0.060019
THR,OG,-0.601931
THR,OG1,-0.601931
THR,HG1,0.405484
THR,HG1,0.405484
THR,HOG1,0.405484
THR,C,0.559878
THR,O,-0.55202
LEU,N,-0.355153
LEU,HN,0.262417
LEU,H,0.262417
LEU,CA,-0.101497
LEU,HA,0.136951
LEU,CB,-0.144399
LEU,HB,0.052533
LEU,HB2,0.052533
LEU,1HB,0.052533
LEU,HB1,0.052533
LEU,HB3,0.052533
LEU,2HB,0.052533
LEU,CG,0.191982
LEU,HG,0.000825
LEU,CD,-0.123036
LEU,CD1,-0.123036
LEU,CD2,-0.123036
LEU,HD,0.022376
LEU,HD11,0.022376
LEU,1HD1,0.022376
LEU,HD12,0.022376
LEU,2HD1,0.022376
LEU,HD13,0.022376
LEU,3HD1,0.022376
LEU,HD21,0.022376
LEU,1HD2,0.022376
LEU,HD22,0.022376
LEU,2HD2,0.022376
LEU,HD23,0.022376
LEU,3HD2,0.022376
LEU,C,0.573471
LEU,O,-0.557847
ILE,N,-0.451047
ILE,HN,0.328831
ILE,H,0.328831
ILE,CA,-0.101874
ILE,HA,0.174193
ILE,CB,0.062238
ILE,HB,0.061662
ILE,CG2,-0.129989
ILE,HG2,0.030227
ILE,HG21,0.030227
ILE,1HG2,0.030227
ILE,HG21,0.030227
ILE,HG22,0.030227
ILE,2HG2,0.030227
ILE,HG23,0.030227
ILE,3HG2,0.030227
ILE,CG1,0.02223
ILE,HG1,0.011551
ILE,HG12,0.011551
ILE,1HG1,0.011551
ILE,HG11,0.011551
ILE,HG13,0.011551
ILE,2HG1,0.011551
ILE,CD,-0.101251
ILE,CD1,-0.101251
ILE,CD2,-0.101251
ILE,HD,0.023792
ILE,HD11,0.023792
ILE,1HD1,0.023792
ILE,HD12,0.023792
ILE,2HD1,0.023792
ILE,HD13,0.023792
ILE,3HD1,0.023792
ILE,HD1,0.023792
ILE,HD2,0.023792
ILE,HD3,0.023792
ILE,C,0.569383
ILE,O,-0.619535
VAL,N,-0.450087
VAL,HN,0.440048
VAL,H,0.440048
VAL,CA,-0.051858
VAL,HA,-0.026204
VAL,CB,0.395217
VAL,HB,-0.115672
VAL,CG,-0.090132
VAL,CG1,-0.090132
VAL,CG2,-0.090132
VAL,HG,-0.008985
VAL,HG11,-0.008985
VAL,1HG1,-0.008985
VAL,HG21,-0.008985
VAL,HG12,-0.008985
VAL,2HG1,-0.008985
VAL,HG22,-0.008985
VAL,HG13,-0.008985
VAL,3HG1,-0.008985
VAL,HG23,-0.008985
VAL,HG21,-0.008985
VAL,1HG2,-0.008985
VAL,HG22,-0.008985
VAL,2HG2,-0.008985
VAL,HG23,-0.008985
VAL,3HG2,-0.008985
VAL,C,0.447359
VAL,O,-0.404629
ASN,N,-0.430106
ASN,HN,0.254543
ASN,H,0.254543
ASN,CA,0.044609
ASN,HA,0.059601
ASN,CB,-0.09365
ASN,HB,0.043321
ASN,HB2,0.043321
ASN,1HB,0.043321
ASN,HB1,0.043321
ASN,HB3,0.043321
ASN,2HB,0.043321
ASN,CG,0.583519
ASN,OD,-0.526813
ASN,OD1,-0.526813
ASN,ND,-0.781735
ASN,ND2,-0.781735
ASN,HD,0.355079
ASN,HD21,0.355079
ASN,1HD2,0.355079
ASN,HN21,0.355079
ASN,HD22,0.355079
ASN,2HD2,0.355079
ASN,HN22,0.355079
ASN,C,0.617141
ASN,O,-0.523909
GLN,N,-0.387353
GLN,HN,0.300605
GLN,H,0.300605
GLN,CA,0.03747
GLN,HA,0.152255
GLN,CB,-0.032112
GLN,HB,0.030995
GLN,HB2,0.030995
GLN,1HB,0.030995
GLN,HB1,0.030995
GLN,HB3,0.030995
GLN,2HB,0.030995
GLN,CG,-0.020264
GLN,HG,0.030791
GLN,HG2,0.030791
GLN,1HG,0.030791
GLN,HG1,0.030791
GLN,HG3,0.030791
GLN,2HG,0.030791
GLN,CD,0.667812
GLN,OE,-0.628483
GLN,OE1,-0.628483
GLN,NE,-0.883393
GLN,NE2,-0.883393
GLN,HE,0.408312
GLN,HE21,0.408312
GLN,1HE2,0.408312
GLN,HE22,0.408312
GLN,2HE2,0.408312
GLN,C,0.418577
GLN,O,-0.56531
ARG,N,-0.300879
ARG,HN,0.233693
ARG,H,0.233693
ARG,CA,-0.131381
ARG,HA,0.053266
ARG,CB,0.036707
ARG,HB,0.028012
ARG,HB2,0.028012
ARG,1HB,0.028012
ARG,HB1,0.028012
ARG,HB3,0.028012
ARG,2HB,0.028012
ARG,CG,0.012454
ARG,HG,0.002964
ARG,HG2,0.002964
ARG,1HG,0.002964
ARG,HG1,0.002964
ARG,HG3,0.002964
ARG,2HG,0.002964
ARG,CD,0.126329
ARG,HD,0.068148
ARG,HD2,0.068148
ARG,1HD,0.068148
ARG,HD1,0.068148
ARG,HD3,0.068148
ARG,2HD,0.068148
ARG,NE,-0.46489
ARG,HE,0.326274
ARG,CZ,0.565543
ARG,NH,-0.685774
ARG,NH1,-0.685774
ARG,NH2,-0.685774
ARG,HH,0.391052
ARG,HH11,0.391052
ARG,1HH1,0.391052
ARG,HH12,0.391052
ARG,2HH1,0.391052
ARG,HH21,0.391052
ARG,1HH2,0.391052
ARG,HH22,0.391052
ARG,2HH2,0.391052
ARG,C,0.730308
ARG,O,-0.578332
HID,N,-0.506799
HSD,N,-0.506799
HISD,N,-0.506799
HISA,N,-0.506799
HID,HN,0.351021
HID,H,0.351021
HSD,HN,0.351021
HSD,H,0.351021
HISD,HN,0.351021
HISD,H,0.351021
HISA,HN,0.351021
HISA,H,0.351021
HID,CA,0.119066
HSD,CA,0.119066
HISD,CA,0.119066
HISA,CA,0.119066
HID,HA,0.137761
HSD,HA,0.137761
HISD,HA,0.137761
HISA,HA,0.137761
HID,CB,-0.122638
HSD,CB,-0.122638
HISD,CB,-0.122638
HISA,CB,-0.122638
HID,HB,0.086329
HID,HB2,0.086329
HID,1HB,0.086329
HID,HB1,0.086329
HID,HB3,0.086329
HID,2HB,0.086329
HSD,HB,0.086329
HSD,HB2,0.086329
HSD,1HB,0.086329
HSD,HB1,0.086329
HSD,HB3,0.086329
HSD,2HB,0.086329
HISD,HB,0.086329
HISD,HB2,0.086329
HISD,1HB,0.086329
HISD,HB1,0.086329
HISD,HB3,0.086329
HISD,2HB,0.086329
HISA,HB,0.086329
HISA,HB2,0.086329
HISA,1HB,0.086329
HISA,HB1,0.086329
HISA,HB3,0.086329
HISA,2HB,0.086329
HID,CG,-0.001547
HSD,CG,-0.001547
HISD,CG,-0.001547
HISA,CG,-0.001547
HID,ND,-0.205785
HID,ND1,-0.205785
HSD,ND,-0.205785
HSD,ND1,-0.205785
HISD,ND,-0.205785
HISD,ND1,-0.205785
HISA,ND,-0.205785
HISA,ND1,-0.205785
HID,HD1,0.318273
HSD,HD1,0.318273
HISD,HD1,0.318273
HISA,HD1,0.318273
HID,CE,0.147273
HID,CE1,0.147273
HID,CE2,0.147273
HSD,CE,0.147273
HSD,CE1,0.147273
HSD,CE2,0.147273
HISD,CE,0.147273
HISD,CE1,0.147273
HISD,CE2,0.147273
HISA,CE,0.147273
HISA,CE1,0.147273
HISA,CE2,0.147273
HID,HE,0.122182
HID,HE1,0.122182
HID,HE2,0.122182
HSD,HE,0.122182
HSD,HE1,0.122182
HSD,HE2,0.122182
HISD,HE,0.122182
HISD,HE1,0.122182
HISD,HE2,0.122182
HISA,HE,0.122182
HISA,HE1,0.122182
HISA,HE2,0.122182
HID,NE,-0.601482
HID,NE2,-0.601482
HSD,NE,-0.601482
HSD,NE2,-0.601482
HISD,NE,-0.601482
HISD,NE2,-0.601482
HISA,NE,-0.601482
HISA,NE2,-0.601482
HID,CD,0.043744
HID,CD1,0.043744
HID,CD2,0.043744
HSD,CD,0.043744
HSD,CD1,0.043744
HSD,CD2,0.043744
HISD,CD,0.043744
HISD,CD1,0.043744
HISD,CD2,0.043744
HISA,CD,0.043744
HISA,CD1,0.043744
HISA,CD2,0.043744
HID,HD2,0.110157
HSD,HD2,0.110157
HISD,HD2,0.110157
HISA,HD2,0.110157
HID,C,0.515947
HSD,C,0.515947
HISD,C,0.515947
HISA,C,0.515947
HID,O,-0.599831
HSD,O,-0.599831
HISD,O,-0.599831
HISA,O,-0.599831
HIE,N,-0.52812
HSE,N,-0.52812
HISE,N,-0.52812
HISB,N,-0.52812
HIE,HN,0.281695
HIE,H,0.281695
HSE,HN,0.281695
HSE,H,0.281695
HISE,HN,0.281695
HISE,H,0.281695
HISB,HN,0.281695
HISB,H,0.281695
HIE,CA,0.031249
HSE,CA,0.031249
HISE,CA,0.031249
HISB,CA,0.031249
HIE,HA,0.085175
HSE,HA,0.085175
HISE,HA,0.085175
HISB,HA,0.085175
HIE,CB,-0.152267
HSE,CB,-0.152267
HISE,CB,-0.152267
HISB,CB,-0.152267
HIE,HB,0.054608
HIE,HB2,0.054608
HIE,1HB,0.054608
HIE,HB1,0.054608
HIE,HB3,0.054608
HIE,2HB,0.054608
HSE,HB,0.054608
HSE,HB2,0.054608
HSE,1HB,0.054608
HSE,HB1,0.054608
HSE,HB3,0.054608
HSE,2HB,0.054608
HISE,HB,0.054608
HISE,HB2,0.054608
HISE,1HB,0.054608
HISE,HB1,0.054608
HISE,HB3,0.054608
HISE,2HB,0.054608
HISB,HB,0.054608
HISB,HB2,0.054608
HISB,1HB,0.054608
HISB,HB1,0.054608
HISB,HB3,0.054608
HISB,2HB,0.054608
HIE,CG,0.278406
HSE,CG,0.278406
HISE,CG,0.278406
HISB,CG,0.278406
HIE,ND,-0.423316
HIE,ND1,-0.423316
HSE,ND,-0.423316
HSE,ND1,-0.423316
HISE,ND,-0.423316
HISE,ND1,-0.423316
HISB,ND,-0.423316
HISB,ND1,-0.423316
HIE,CE,0.02596
HIE,CE1,0.02596
HIE,CE2,0.02596
HSE,CE,0.02596
HSE,CE1,0.02596
HSE,CE2,0.02596
HISE,CE,0.02596
HISE,CE1,0.02596
HISE,CE2,0.02596
HISB,CE,0.02596
HISB,CE1,0.02596
HISB,CE2,0.02596
HIE,HE1,0.126832
HSE,HE1,0.126832
HISE,HE1,0.126832
HISB,HE1,0.126832
HIE,NE,-0.097984
HIE,NE2,-0.097984
HSE,NE,-0.097984
HSE,NE2,-0.097984
HISE,NE,-0.097984
HISE,NE2,-0.097984
HISB,NE,-0.097984
HISB,NE2,-0.097984
HIE,HE2,0.266865
HIE,HNE2,0.266865
HSE,HE2,0.266865
HSE,HNE2,0.266865
HISE,HE2,0.266865
HISE,HNE2,0.266865
HISB,HE2,0.266865
HISB,HNE2,0.266865
HIE,CD,-0.297563
HIE,CD1,-0.297563
HIE,CD2,-0.297563
HSE,CD,-0.297563
HSE,CD1,-0.297563
HSE,CD2,-0.297563
HISE,CD,-0.297563
HISE,CD1,-0.297563
HISE,CD2,-0.297563
HISB,CD,-0.297563
HISB,CD1,-0.297563
HISB,CD2,-0.297563
HIE,HD,0.160413
HIE,HD1,0.160413
HIE,HD2,0.160413
HSE,HD,0.160413
HSE,HD1,0.160413
HSE,HD2,0.160413
HISE,HD,0.160413
HISE,HD1,0.160413
HISE,HD2,0.160413
HISB,HD,0.160413
HISB,HD1,0.160413
HISB,HD2,0.160413
HIE,C,0.662405
HSE,C,0.662405
HISE,C,0.662405
HISB,C,0.662405
HIE,O,-0.528966
HSE,O,-0.528966
HISE,O,-0.528966
HISB,O,-0.528966
HIS,N,-0.424967
HIP,N,-0.424967
HSP,N,-0.424967
HISH,HN,-0.424967
HISH,H,-0.424967
HIS,HN,0.285872
HIS,H,0.285872
HIP,HN,0.285872
HIP,H,0.285872
HSP,HN,0.285872
HSP,H,0.285872
HISH,HN,0.285872
HISH,H,0.285872
HIS,CA,0.375022
HIP,CA,0.375022
HSP,CA,0.375022
HISH,CA,0.375022
HIS,HA,-0.014621
HIP,HA,-0.014621
HSP,HA,-0.014621
HISH,HA,-0.014621
HIS,CB,-0.332123
HIP,CB,-0.332123
HSP,CB,-0.332123
HISH,CB,-0.332123
HIS,HB,0.107725
HIS,HB2,0.107725
HIS,1HB,0.107725
HIS,HB1,0.107725
HIS,HB3,0.107725
HIS,2HB,0.107725
HIP,HB,0.107725
HIP,HB2,0.107725
HIP,1HB,0.107725
HIP,HB1,0.107725
HIP,HB3,0.107725
HIP,2HB,0.107725
HSP,HB,0.107725
