Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,1,,5,6,7,9,1,1,0,1,4,17,3,9,3,1
2,3,,6,7,10,11,3,2,3,3,6,22,4,10,4,2
3,5,1,7,8,12,14,4,4,4,5,8,27,5,11,5,3
4,8,2,8,9,15,17,5,5,6,6,9,31,6,12,6,4
5,11,4,9,10,18,19,7,7,8,7,11,36,8,13,7,5
6,15,6,,12,21,22,8,9,10,8,13,41,9,14,8,6
7,18,8,10,13,24,25,9,10,12,10,14,45,10,16,9,7
8,20,10,11,14,27,27,10,12,14,13,16,50,11,17,10,8
9,23,13,12,15,30,30,12,14,15,15,18,55,12,18,11,9
10,26,14,13,16,33,32,13,15,17,17,20,59,13,19,12,10
11,28,16,14,17,35,35,15,17,19,18,21,64,14,20,13,11
12,31,18,,18,38,37,16,19,20,21,23,67,15,21,14,12
13,34,20,15,19,40,40,18,20,22,23,25,72,16,22,15,13
14,36,22,16,20,42,42,19,22,23,25,26,77,17,23,16,14
15,39,24,17,21,45,45,20,24,25,27,28,80,18,24,17,15
16,41,26,18,22,47,47,22,25,26,28,30,84,19,26,18,16
17,44,28,19,23,50,50,23,27,28,29,32,90,20,27,19,17
18,47,30,20,24,53,52,24,29,30,32,33,93,21,28,20,18
19,68,44,32,28,119,68,30,35,42,60,38,136,33,34,24,19
