Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,,,2,0,3,2,,0,,0,0,4,2,1,0,1
2,,,3,1,7,5,,1,0,3,2,6,3,2,1,2
3,1,,4,2,11,7,0,3,1,5,3,13,4,3,2,3
4,2,0,5,3,15,9,2,4,3,8,5,17,5,5,3,4
5,5,2,6,4,19,11,3,5,4,10,7,23,,6,4,5
6,8,3,7,5,23,14,4,6,6,12,8,28,6,7,5,6
7,11,5,8,7,27,16,5,7,8,15,10,34,7,9,6,7
8,13,6,9,8,31,18,7,8,9,17,11,39,,10,7,8
9,16,7,10,9,34,21,8,9,10,19,13,45,8,12,8,9
10,19,9,11,11,38,23,9,10,12,22,14,49,9,13,9,10
11,22,10,12,12,42,25,11,12,13,24,16,53,,14,10,11
12,25,12,,13,46,28,12,13,14,26,17,58,10,16,,12
13,27,13,13,15,50,30,13,14,16,29,19,62,11,17,11,13
14,30,14,14,16,54,33,15,15,17,31,20,67,,18,12,14
15,33,16,15,18,59,35,16,16,18,33,22,71,12,20,13,15
16,36,17,16,19,61,37,17,17,20,36,23,77,13,21,14,16
17,38,19,17,20,63,40,19,18,22,38,25,80,,22,15,17
18,41,20,18,22,64,42,20,19,23,40,27,84,14,24,16,18
19,68,44,32,28,65,68,30,35,42,45,38,136,33,34,24,19
