14:4-14:7,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,10,8,6,10,25,20,10,9,12,10,12,36,11,16,9,1
2,16,10,7,11,29,23,11,11,14,12,14,38,12,17,10,2
3,20,12,9,12,32,26,12,13,16,14,16,43,13,18,11,3
4,25,15,10,13,36,29,13,15,19,17,18,51,14,19,12,4
5,28,17,11,14,40,32,14,17,21,19,20,58,16,20,13,5
6,33,19,12,15,44,35,15,18,23,21,22,66,17,21,14,6
7,37,22,13,16,48,38,16,20,25,23,24,73,18,23,15,7
8,40,24,15,17,52,41,17,21,27,26,26,82,19,24,16,8
9,44,26,16,19,56,44,18,23,29,28,28,89,21,25,17,9
10,48,28,17,20,60,47,19,24,30,30,29,96,22,26,18,10
11,51,30,18,21,64,51,20,25,32,32,31,103,23,27,19,11
12,55,32,19,22,68,53,21,26,34,35,32,109,25,28,20,12
13,57,33,20,23,72,55,22,28,36,37,33,114,26,29,21,13
14,59,35,21,,76,57,,29,37,39,34,119,27,,22,14
15,61,37,22,24,79,59,23,30,38,42,,125,28,30,,15
16,63,39,23,25,82,61,24,31,39,44,35,128,30,31,23,16
17,64,41,24,26,86,63,25,32,,46,36,131,31,32,,17
18,65,43,25,27,91,66,26,33,40,48,37,134,32,,24,18
19,68,44,32,28,119,68,30,35,42,60,38,136,33,34,,19
