Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,1,2,6,7,14,13,7,5,5,7,10,22,6,14,5,1
2,4,3,7,8,18,15,8,6,8,9,12,26,7,15,6,2
3,6,5,8,9,21,19,10,8,11,11,13,34,8,16,7,3
4,11,7,9,10,25,21,11,10,13,14,15,40,9,17,8,4
5,15,9,10,11,28,24,12,12,15,15,17,48,11,18,9,5
6,20,12,11,12,32,28,13,13,17,17,18,54,12,20,10,6
7,24,14,12,14,35,31,14,15,18,19,20,60,14,21,11,7
8,28,17,13,15,39,34,15,17,20,20,22,65,15,22,12,8
9,32,19,14,16,42,37,16,19,22,22,23,71,16,,13,9
10,36,21,15,18,46,40,17,20,24,24,25,78,18,23,15,10
11,40,23,16,19,49,42,18,22,26,25,26,83,19,24,16,11
12,44,24,17,20,52,44,19,24,28,27,28,87,20,25,17,12
13,48,26,18,21,55,46,20,25,29,29,29,92,21,26,18,13
14,51,28,20,22,58,48,21,27,31,31,31,97,22,27,19,14
15,56,29,21,23,60,50,22,28,32,34,32,102,23,28,,15
16,58,31,22,24,63,52,23,29,33,36,33,107,24,29,20,16
17,60,33,23,25,66,54,24,31,34,38,35,112,26,30,21,17
18,62,35,24,26,68,56,25,32,35,40,36,117,27,31,,18
19,68,44,32,28,119,68,30,35,42,60,38,136,33,34,24,19
