Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,1,1,6,7,12,13,7,5,4,6,9,22,6,13,5,1
2,3,3,7,8,18,15,8,6,7,8,11,25,7,14,6,2
3,6,5,8,9,20,19,9,8,10,10,12,33,8,15,7,3
4,10,7,9,10,25,21,11,10,12,12,14,40,9,16,8,4
5,14,9,10,11,28,24,12,11,14,14,16,47,11,18,9,5
6,19,12,11,12,32,28,13,13,16,16,18,54,12,19,10,6
7,23,14,12,13,35,31,14,15,18,18,20,59,13,20,11,7
8,27,16,13,15,39,34,15,17,20,20,22,65,14,21,12,8
9,32,19,14,16,42,37,16,18,22,21,23,70,16,22,13,9
10,36,21,15,18,45,40,17,20,24,23,25,75,17,23,15,10
11,40,23,16,19,48,42,18,22,26,25,26,80,18,24,16,11
12,44,24,17,20,52,44,19,23,27,27,28,85,19,25,17,12
13,48,26,18,21,55,46,20,25,29,29,29,91,21,26,18,13
14,51,28,19,22,58,48,21,27,30,31,31,96,22,27,19,14
15,56,29,20,23,60,50,22,28,31,34,32,101,23,28,,15
16,58,31,21,24,63,52,23,29,32,36,33,106,24,29,20,16
17,60,33,22,25,65,54,24,31,33,38,34,111,26,30,21,17
18,62,35,23,26,68,56,25,32,34,40,36,117,27,31,,18
19,68,44,32,28,119,68,30,35,42,60,38,136,33,34,24,19
