Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,5,3,6,9,18,14,8,5,7,9,10,24,8,15,6,1
2,8,5,7,10,23,17,9,7,9,11,12,30,9,16,7,2
3,11,7,8,11,27,20,10,9,12,12,14,36,10,17,8,3
4,15,10,10,12,31,23,11,11,14,14,15,43,12,18,9,4
5,19,12,11,13,34,27,12,13,16,16,17,51,14,19,11,5
6,24,15,12,14,37,30,13,14,18,18,19,57,15,20,12,6
7,28,18,13,15,41,33,14,16,20,20,21,66,16,21,13,7
8,32,20,14,16,44,36,15,18,22,22,22,72,17,22,14,8
9,35,22,15,17,48,39,17,20,24,24,24,80,18,23,15,9
10,39,24,16,18,51,42,18,22,26,26,26,86,20,24,16,10
11,43,27,17,20,55,45,19,24,28,28,27,91,21,25,17,11
12,46,29,18,21,58,49,20,26,30,30,29,97,22,26,18,12
13,50,31,19,22,62,52,21,27,33,31,30,103,23,27,19,13
14,54,33,20,,65,55,22,28,35,33,32,108,24,,20,14
15,57,35,21,23,68,58,23,29,36,34,33,114,26,28,21,15
16,59,37,22,24,72,60,24,30,37,36,34,120,27,29,,16
17,61,39,23,25,75,62,25,31,38,38,35,125,28,30,22,17
18,63,41,24,26,79,64,26,32,39,40,36,132,29,31,23,18
19,68,44,32,28,119,68,30,35,42,60,38,136,33,34,24,19
