Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,6,5,6,9,21,17,10,8,10,9,11,26,9,15,8,1
2,10,7,7,10,24,21,11,10,12,11,12,31,10,16,9,2
3,13,9,9,11,27,25,12,11,14,13,15,38,11,17,10,3
4,17,13,10,12,32,29,13,13,16,15,17,46,12,18,11,4
5,21,15,11,13,34,32,14,15,18,17,19,52,14,19,12,5
6,26,17,12,14,39,34,,17,20,19,21,60,15,21,13,6
7,29,19,13,16,41,37,15,18,22,21,23,67,17,22,14,7
8,34,21,14,17,44,39,16,20,24,23,24,74,18,23,15,8
9,38,23,15,18,49,42,17,22,26,25,26,80,19,24,,9
10,42,25,16,19,53,45,18,23,28,27,27,87,20,25,16,10
11,45,27,17,20,56,47,19,25,30,29,29,94,21,26,17,11
12,48,30,18,21,59,50,20,26,32,31,30,100,23,27,18,12
13,52,32,19,22,62,52,21,27,34,32,31,105,24,28,19,13
14,55,34,20,23,65,55,22,28,35,34,32,110,25,29,20,14
15,59,36,21,24,68,58,23,30,36,36,33,115,26,,21,15
16,61,38,22,25,72,60,24,31,37,37,34,122,27,30,22,16
17,62,40,23,26,75,63,25,32,38,39,35,127,29,31,,17
18,63,41,25,27,80,65,26,33,39,41,36,132,30,32,23,18
19,68,44,32,28,119,68,30,35,42,60,38,136,33,34,24,19
