Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,1,,6,7,11,11,5,4,3,3,8,21,4,11,3,1
2,3,2,7,8,14,15,6,6,5,4,10,25,6,12,4,2
3,6,4,8,9,17,18,8,8,7,6,11,29,7,13,5,3
4,10,6,,10,19,21,9,9,9,8,13,35,8,14,6,4
5,14,8,9,11,22,23,10,11,11,10,15,42,9,15,8,5
6,18,10,11,12,26,26,11,13,13,14,17,47,10,16,10,6
7,22,13,12,13,30,28,12,14,15,16,18,54,12,18,11,7
8,26,15,13,14,33,31,13,16,17,18,20,59,13,19,12,8
9,29,17,,15,37,34,14,17,19,20,21,65,14,20,,9
10,33,19,14,17,41,36,16,19,21,22,23,69,15,21,13,10
11,36,21,15,18,44,39,17,20,23,24,25,74,17,22,14,11
12,39,23,16,19,48,41,18,22,25,26,26,79,18,23,15,12
13,42,25,17,20,51,44,19,23,26,28,28,82,19,25,16,13
14,45,27,18,21,54,46,20,25,28,30,30,88,20,26,17,14
15,48,29,19,23,57,49,21,26,30,32,31,91,21,27,18,15
16,52,31,,24,60,52,22,28,31,33,33,96,22,28,19,16
17,55,33,20,25,63,54,23,29,32,35,34,100,23,29,,17
18,58,34,21,26,66,56,25,31,33,37,35,106,24,30,20,18
19,68,44,32,28,119,68,30,35,42,60,38,136,33,34,24,19
