Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,,,5,1,9,5,0,1,,4,1,6,3,5,1,1
2,,,6,3,13,6,1,2,1,6,3,11,4,7,2,2
3,1,0,7,4,17,9,2,4,3,8,5,13,5,8,3,3
4,3,1,8,5,21,11,3,5,5,11,7,19,6,9,4,4
5,5,3,,7,25,14,5,6,6,13,9,24,7,11,5,5
6,8,5,9,8,29,16,6,7,8,15,10,30,,12,6,6
7,12,6,,9,34,19,7,9,10,18,12,36,8,13,7,7
8,15,8,10,11,38,21,9,11,11,20,14,42,9,14,8,8
9,18,10,11,12,42,24,10,13,13,22,16,48,10,16,9,9
10,21,12,12,13,46,27,12,14,15,24,18,54,,17,10,10
11,25,14,13,15,51,29,13,16,17,27,20,60,11,18,11,11
12,28,16,,16,55,32,15,17,18,29,22,66,12,19,12,12
13,32,18,14,17,58,34,16,18,20,31,24,72,13,21,13,13
14,34,20,15,19,59,37,18,20,22,34,26,76,,22,14,14
15,37,22,,20,61,39,20,21,24,36,27,79,14,23,15,15
16,40,24,16,21,62,42,21,22,25,38,29,82,15,24,16,16
17,43,26,17,22,63,44,22,23,27,41,31,89,16,26,17,17
18,46,28,18,23,64,47,24,25,29,43,33,92,,27,18,18
19,68,44,32,28,65,68,30,35,42,45,38,136,33,34,24,19
