Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,14,11,6,11,30,26,12,10,13,13,16,48,12,16,10,1
2,21,13,8,12,34,28,13,13,15,15,17,54,13,17,11,2
3,25,15,9,13,38,31,14,14,17,17,19,60,15,18,13,3
4,28,17,10,14,42,34,15,16,19,19,20,66,16,19,14,4
5,32,19,12,15,48,36,,18,21,22,22,72,17,20,15,5
6,36,22,13,16,50,39,16,19,23,24,24,79,19,22,16,6
7,40,24,14,17,54,42,17,21,25,26,25,83,20,23,17,7
8,43,26,16,18,59,44,18,23,27,29,27,90,21,24,18,8
9,47,28,17,19,63,47,19,24,29,31,28,96,22,25,,9
10,50,30,19,20,67,50,20,26,31,33,30,101,23,26,19,10
11,53,31,20,21,71,52,21,27,33,35,31,106,24,28,20,11
12,56,33,21,22,75,54,22,28,35,36,32,112,25,,21,12
13,59,35,22,23,78,57,23,29,36,38,33,116,26,29,,13
14,61,37,24,24,82,59,,30,37,40,34,121,27,30,22,14
15,63,39,25,,86,61,24,31,38,42,35,127,28,,,15
16,64,40,26,25,89,63,25,32,39,46,36,129,30,31,23,16
17,65,42,28,26,92,65,26,33,40,48,,132,31,32,,17
18,66,43,29,27,97,67,,34,41,50,37,135,32,33,24,18
19,68,44,32,28,119,68,30,35,42,60,38,136,33,34,,19
