Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,1,,6,7,11,9,1,1,0,1,8,20,4,10,3,1
2,3,,7,8,14,11,3,3,3,3,9,25,5,11,4,2
3,6,1,,9,16,14,4,4,5,5,11,29,6,12,5,3
4,9,3,8,10,19,17,5,6,6,6,12,33,7,13,6,4
5,12,4,9,11,21,19,7,8,8,8,14,38,8,14,7,5
6,16,7,10,12,24,22,8,9,1,10,16,42,9,15,8,6
7,19,8,11,13,26,24,9,11,12,12,17,46,10,17,9,7
8,22,11,12,14,28,27,11,13,14,14,19,51,11,18,10,8
9,26,13,,15,31,30,12,14,15,16,21,55,12,19,11,9
10,29,15,13,16,33,33,14,16,17,17,22,59,13,20,12,10
11,32,17,14,17,36,34,15,18,19,19,24,64,14,21,13,11
12,35,19,15,18,38,38,16,19,21,21,25,68,15,22,14,12
13,38,21,16,19,40,41,18,21,23,23,27,72,16,23,15,13
14,42,23,17,20,43,44,19,23,25,25,29,77,17,24,16,14
15,45,25,18,21,45,46,20,24,27,27,30,81,18,25,17,15
16,48,27,,22,48,49,22,26,28,28,31,85,19,26,18,16
17,51,30,19,23,50,52,23,28,30,30,32,90,20,27,19,17
18,54,32,20,24,53,54,24,29,31,32,33,94,21,29,20,18
19,68,44,32,28,119,68,30,35,42,60,38,136,33,34,24,19
