Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,13,10,6,10,28,26,10,10,13,11,15,46,12,16,10,1
2,20,12,8,11,30,28,11,13,15,14,16,54,13,17,11,2
3,24,15,9,12,35,31,12,14,17,16,18,59,15,18,13,3
4,28,17,10,13,42,33,13,16,19,18,20,65,16,19,14,4
5,31,19,12,14,47,36,14,18,21,21,21,70,17,20,15,5
6,35,22,13,16,50,39,15,19,23,23,23,76,19,22,,6
7,39,24,14,17,53,41,17,21,25,26,25,82,20,23,16,7
8,43,26,16,18,59,44,18,23,27,28,26,87,21,24,17,8
9,46,28,17,19,62,46,19,24,29,31,28,93,22,25,18,9
10,50,30,18,20,65,49,20,26,31,33,30,98,23,26,19,10
11,53,31,20,21,68,52,21,27,33,35,31,104,24,27,,11
12,56,33,21,22,71,54,22,28,35,36,32,110,25,28,20,12
13,59,35,22,23,74,57,23,29,36,38,33,116,26,29,21,13
14,61,37,24,,77,59,,30,37,40,34,121,27,30,22,14
15,63,39,25,24,79,61,24,31,38,42,35,126,28,,,15
16,64,40,26,25,82,63,25,32,39,46,,129,30,31,23,16
17,65,42,28,26,86,65,26,33,40,48,36,131,31,32,,17
18,66,43,29,27,92,67,,34,41,50,37,135,32,33,24,18
19,68,44,32,28,119,68,30,35,42,60,38,136,33,34,,19
