14:4-14:7,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,11,8,6,10,26,23,10,9,12,11,12,38,11,16,10,1
2,17,10,7,11,30,26,11,11,14,13,14,40,12,17,11,2
3,21,12,9,12,34,28,12,13,16,15,16,43,14,18,12,3
4,26,15,10,13,38,31,13,15,19,18,18,51,15,19,13,4
5,29,17,11,14,42,34,14,17,21,20,20,59,16,20,,5
6,34,19,12,15,45,37,15,18,23,22,22,66,18,21,14,6
7,38,22,13,16,49,40,16,20,25,25,24,74,19,23,15,7
8,41,24,15,17,53,42,17,21,27,27,26,82,20,24,16,8
9,45,26,16,19,57,45,18,23,29,29,28,90,22,25,17,9
10,49,28,17,20,61,48,19,24,31,31,29,97,23,26,18,10
11,53,31,18,21,65,51,20,26,33,34,31,103,24,27,19,11
12,56,33,19,22,68,53,21,27,35,36,32,110,25,28,20,12
13,58,35,20,23,72,55,22,28,36,38,33,114,26,29,21,13
14,60,37,21,,76,57,,29,37,40,34,120,27,,22,14
15,62,39,22,24,79,59,23,30,38,42,35,126,28,30,,15
16,63,40,23,25,82,61,24,31,39,45,,129,30,31,23,16
17,64,41,24,26,86,63,25,32,,47,36,131,31,32,,17
18,65,43,25,27,91,66,26,33,40,50,37,134,32,,24,18
19,68,44,32,28,119,68,30,35,42,60,38,136,33,34,,19
