Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,,,3,0,4,3,0,0,,0,1,5,3,3,0,1
2,,,4,1,10,5,1,2,0,3,2,7,4,4,1,2
3,1,0,6,2,13,7,2,3,1,5,4,13,5,5,2,3
4,2,1,7,4,19,9,3,4,3,8,6,18,6,7,3,4
5,5,2,8,6,22,12,4,6,4,11,7,23,,8,4,5
6,8,4,,7,28,15,5,7,6,13,9,29,7,10,5,6
7,12,5,9,9,31,18,6,8,8,16,11,34,8,11,6,7
8,15,7,10,10,37,21,8,10,9,18,12,40,9,13,7,8
9,18,8,11,11,40,23,9,11,11,21,14,45,,14,8,9
10,21,9,,13,45,26,10,12,13,24,16,51,10,16,9,10
11,24,11,12,14,50,28,12,14,14,26,17,57,11,17,10,11
12,27,12,13,15,52,31,13,15,16,29,19,61,12,18,11,12
13,30,13,14,17,55,33,15,16,18,31,21,67,13,19,12,13
14,34,15,15,18,57,35,16,18,20,33,22,71,,20,14,14
15,37,16,,19,60,37,17,19,21,35,24,77,14,21,15,15
16,40,18,16,21,62,39,18,20,23,37,25,81,15,22,16,16
17,43,21,17,22,63,41,19,21,25,40,27,86,16,23,17,17
18,46,22,18,23,64,43,20,22,26,42,29,91,,24,18,18
19,68,44,32,28,65,68,30,35,42,45,38,136,33,34,24,19
