 Fechas ;Total;Hc;Hp;H
02-03-2020;1;0;0;1
03-03-2020;2;0;0;2
04-03-2020;2;0;0;2
05-03-2020;2;0;0;2
06-03-2020;2;0;0;2
07-03-2020;4;1;0;3
08-03-2020;5;1;0;4
09-03-2020;5;0;0;5
10-03-2020;7;1;0;6
11-03-2020;11;4;0;7
12-03-2020;12;4;0;8
13-03-2020;16;6;0;10
14-03-2020;17;6;0;11
15-03-2020;19;7;0;12
16-03-2020;26;9;0;17
17-03-2020;31;8;1;22
18-03-2020;42;11;1;30
19-03-2020;46;13;0;33
20-03-2020;61;19;0;42
21-03-2020;85;21;0;64
22-03-2020;106;23;1;82
23-03-2020;122;25;2;95
24-03-2020;146;29;2;115
25-03-2020;160;33;3;124
26-03-2020;185;41;2;142
27-03-2020;209;50;4;155
28-03-2020;253;52;8;193
29-03-2020;283;67;8;208
30-03-2020;330;81;11;238
31-03-2020;354;96;11;247
01-04-2020;382;100;13;269
02-04-2020;435;110;15;310
03-04-2020;465;123;16;326
04-04-2020;488;134;21;333
05-04-2020;508;143;21;344
06-04-2020;528;149;20;359
07-04-2020;553;151;17;385
08-04-2020;552;152;13;387
09-04-2020;567;158;16;393
10-04-2020;590;165;19;406
11-04-2020;608;165;20;423
12-04-2020;623;169;24;430
13-04-2020;635;179;21;435
14-04-2020;636;182;24;430
15-04-2020;642;185;27;430
16-04-2020;647;191;31;425
17-04-2020;661;190;32;439
18-04-2020;705;202;32;471
19-04-2020;721;206;38;477
20-04-2020;728;209;43;476
21-04-2020;741;227;39;475
22-04-2020;727;233;39;455
23-04-2020;724;241;43;440
