Data,Confirmed,Severe,Deaths
21-01-2020,309,51,6
23-01-2020,571,95,17
24-01-2020,830,177,25
25-01-2020,1287,237,41
26-01-2020,1985,324,56
27-01-2020,5794,461,80
28-01-2020,4537,976,106
29-01-2020,5997,1239,132
30-01-2020,7736,1370,170
31-01-2020,9720,1527,213
01-02-2020,11821,1795,259
02-02-2020,14411,2110,304
03-02-2020,17238,2296,361
04-02-2020,20471,2788,425
05-02-2020,24363,3219,491
06-02-2020,28060,3859,564
07-02-2020,31211,4821,637
08-02-2020,34598,6101,723
09-02-2020,37251,6188,812
10-02-2020,40235,6484,909
11-02-2020,42708,7333,1017
12-02-2020,44730,8204,1114
13-02-2020,46550,,1368
14-02-2020,48548,,1381
15-02-2020,50054,,1524
16-02-2020,51174,,1666
17-02-2020,70635,,1772
18-02-2020,72528,,1870
19-02-2020,74280,,2006
20-02-2020,74675,,2121
21-02-2020,75569,,2239
22-02-2020,76392,,2348
23-02-2020,77042,,2445
24-02-2020,77262,,2595
25-02-2020,77780,,2666
26-02-2020,78191,,2718
27-02-2020,78630,,2747
28-02-2020,78961,,2791
29-02-2020,79394,,2838
01-03-2020,79968,,2873
02-03-2020,80174,,2915
03-03-2020,80304,,2946
04-03-2020,80422,,2984
05-03-2020,80565,,3015
06-03-2020,80711,,3045
07-03-2020,80813,,3073
08-03-2020,80859,,3100
09-03-2020,80904,,3123
10-03-2020,80924,,3140
11-03-2020,80955,,3162
12-03-2020,80981,,3173
13-03-2020,80991,,3180
14-03-2020,81021,,3194
15-03-2020,81048,,3204
16-03-2020,81077,,3218
17-03-2020,81116,,3231
18-03-2020,81116,,3231
19-03-2020,81174,,3242
20-03-2020,81300,,3253
21-03-2020,81416,,3261
22-03-2020,81498,,3267
23-03-2020,81601,,3276
24-03-2020,81747,,3283
25-03-2020,81848,,3287
26-03-2020,81961,,3293
27-03-2020,82078,,3298
28-03-2020,82230,,3301
29-03-2020,82341,,3306
30-03-2020,82447,,3310
