Date,Confirmed,Suspected,Deaths,Recovered,Cases,Severe Cases
20-01-2020,214,27,6,29,0,0
21-01-2020,77,27,,,,
22-01-2020,149,26,3,,,
23-01-2020,131,257,8,,,95
24-01-2020,259,680,8,6,,177
25-01-2020,444,1118,16,3,,237
26-01-2020,688,1309,15,11,,324
27-01-2020,769,3806,24,2,,461
28-01-2020,1771,2077,26,9,,976
29-01-2020,1459,3248,26,43,,1239
30-01-2020,1737,4148,38,21,,1370
31-01-2020,1982,4812,43,47,,1527
01-02-2020,2102,5019,46,72,,1795
02-02-2020,2590,4562,45,85,,2110
03-02-2020,2829,5173,57,147,,2296
04-02-2020,3235,5072,64,157,,2788
05-02-2020,3887,3971,65,262,,3219
06-02-2020,3694,5328,73,261,,3859
07-02-2020,3143,4833,73,387,,4821
08-02-2020,3399,4214,86,510,,6101
09-02-2020,2656,3916,89,600,,6188
10-02-2020,3062,4008,97,632,,6484
11-02-2020,2478,3536,108,716,,7333
12-02-2020,2015,3342,97,744,,
13-02-2020,15152,2807,254,1171,52526,8030
14-02-2020,5090,2450,121,1081,55748,10204
15-02-2020,2641,2277,143,1373,56873,11053
16-02-2020,2009,1918,142,1323,57416,11272
17-02-2020,2048,1563,105,1425,57934,10644
18-02-2020,1886,1432,98,1701,58016,11741
19-02-2020,1749,1185,136,1824,57805,11977
20-02-2020,394,1277,114,1779,56303,11864
21-02-2020,889,1614,118,2109,54965,11633
22-02-2020,397,1361,109,2393,53284,11477
23-02-2020,648,882,97,2230,51606,10968
24-02-2020,409,620,150,1846,49824,9915
25-02-2020,508,530,71,2589,47672,9126
26-02-2020,406,439,52,2422,45604,8752
27-02-2020,433,508,29,2750,43258,8346
28-02-2020,327,452,44,3622,39919,7952
29-02-2020,427,248,47,2885,37414,7664
01-03-2020,573,132,35,2623,35329,7365
02-03-2020,202,141,42,2837,32562,7110
03-03-2020,125,129,31,2742,30004,6806
04-03-2020,119,143,38,2652,27433,6416
05-03-2020,139,143,31,2189,25352,5952
06-03-2020,143,102,30,1681,23764,5737
07-03-2020,99,99,28,1678,22177,5489
08-03-2020,44,84,27,1661,20533,5264
09-03-2020,40,60,22,1535,19016,5111
10-03-2020,19,36,17,1297,17721,4794
11-03-2020,24,31,22,1578,16145,4492
12-03-2020,15,33,11,1318,14831,4257
13-03-2020,8,33,7,1318,13526,4020
14-03-2020,11,17,13,1430,12094,3610
15-03-2020,20,39,10,1370,10734,3226
16-03-2020,16,41,14,838,9898,3032
17-03-2020,21,45,13,930,8976,2830
18-03-2020,13,21,11,922,8056,2622
19-03-2020,34,23,8,819,7263,2314
20-03-2020,39,31,3,730,6569,2136
21-03-2020,41,36,7,590,6013,1963
22-03-2020,46,45,6,504,5549,1845
23-03-2020,39,47,9,459,5120,1749
24-03-2020,78,35,7,456,4735,1573
25-03-2020,47,33,4,491,4287,1399
26-03-2020,67,58,6,401,3947,1235
27-03-2020,55,49,5,537,3460,1034
28-03-2020,54,29,3,383,3128,921
29-03-2020,45,28,5,477,2691,742
30-03-2020,31,17,4,322,2396,633
31-03-2020,48,44,1,282,2161,528
